Event,Depth_mean (m),Day/Night,Time net in water (GMT),Date Net deployed,T (deg C),Study Site,Species,WM_g,Protein content (mg/Ind.),ETS_Activity (킠 O2 /ind/h),R_Ind_insitu (킠 O2/ind/hr),R_WM (킠 O2 /mg WW/d),R_Prot (킠 O2 /mg protein/d)
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,E.antarctica,13.49,1118.69,2201.01,1100.51,1.958,23.61
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,E.antarctica,13.49,1342.94,2140.21,1070.11,1.904,19.124
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,E.antarctica,13.53,1415.79,3675.54,1837.77,3.259,31.153
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,E.antarctica,5.19,620.01,1468.61,734.31,3.398,28.424
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,E.antarctica,12.37,1124.42,2696.68,1348.34,2.617,28.779
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,E.antarctica,2.75,247.33,725.12,362.56,3.17,35.181
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,E.antarctica,6.2,1184.73,1511.68,755.84,2.925,15.312
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,E.antarctica,2.03,192.88,1076.17,538.08,6.358,66.952
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,E.antarctica,0.23,44.22,91.68,45.84,4.837,24.879
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,E.antarctica,0.83,102.18,267.42,133.71,3.876,31.406
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,E.antarctica,11.65,719.23,1702.2,851.1,1.753,28.4
162,130,Night,01:20:00,30/11/2017,1.818775872,Scotia Sea,E.antarctica,11.11,1014.13,2942.68,1471.34,3.179,34.82
162,130,Night,01:20:00,30/11/2017,1.818775872,Scotia Sea,E.antarctica,1.29,263.94,776.94,388.47,7.239,35.324
162,130,Night,01:20:00,30/11/2017,1.818775872,Scotia Sea,E.antarctica,9.52,550.96,1775.79,887.9,2.239,38.677
162,130,Night,01:20:00,30/11/2017,1.818775872,Scotia Sea,E.antarctica,6.9,723.07,1977.65,988.83,3.442,32.821
162,130,Night,01:20:00,30/11/2017,1.818775872,Scotia Sea,E.antarctica,5.39,583.61,1288.52,644.26,2.866,26.494
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,E.antarctica,7,623.55,1488.08,744.04,2.549,28.637
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,E.antarctica,13.71,1245.79,2662.19,1331.1,2.33,25.643
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,E.antarctica,7.21,442.17,1250.02,625.01,2.081,33.924
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,K.anderssoni,2.51,283.96,1349.56,674.78,6.457,57.032
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,K.anderssoni,0.5,78.76,570.31,285.16,13.722,86.897
153,375,Night,17:30:00,29/11/2017,1.920814834,Scotia Sea,K.anderssoni,0.55,69.42,606.92,303.46,13.253,104.916
153,375,Night,17:30:00,29/11/2017,1.920814834,Scotia Sea,K.anderssoni,0.66,102.34,723,361.5,13.091,84.779
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,K.anderssoni,0.8,100.39,464.69,232.35,6.929,55.544
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,K.anderssoni,1.7,204.91,1581.86,790.93,11.187,92.637
286,375,Night,01:07:00,10/12/2017,2.001377676,Scotia Sea,K.anderssoni,0.47,48.66,297.54,148.77,7.56,73.37
153,375,Day,17:30:00,22/11/2018,1.920814834,Scotia Sea,K.anderssoni,0.55,108.7,548.13,274.07,11.925,60.513
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,K.anderssoni,0.49,99.41,562.05,281.03,13.688,67.849
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,K.anderssoni,0.75,73.45,1094.06,547.03,17.539,178.738
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,Gymnoscopelus spp.,8.25,836.71,868.75,434.38,1.263,12.459
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,Gymnoscopelus spp.,8.06,1090,987.74,493.87,1.47,10.874
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,Gymnoscopelus spp.,11.51,2227.34,617.83,308.91,0.644,3.329
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,Gymnoscopelus spp.,13.24,754.68,1048.11,524.05,0.95,16.666
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,Gymnoscopelus spp.,11.69,910.67,1394.32,697.16,1.431,18.373
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,Gymnoscopelus spp.,16.09,1650.01,1066.66,533.33,0.795,7.757
162,375,Night,01:20:00,30/11/2017,1.973041775,Scotia Sea,Gymnoscopelus spp.,14.56,1002.35,1457.31,728.66,1.201,17.447
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,14.12,712.73,415.82,207.91,0.353,7.001
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,12.9,668.55,399.86,199.93,0.372,7.177
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,13.77,923.74,958.24,479.12,0.835,12.448
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,12.69,934.71,718.51,359.26,0.68,9.224
153,375,Day,17:30:00,29/11/2017,1.920814834,Scotia Sea,Gymnoscopelus spp.,10.9,769,1206.33,603.17,1.329,18.824
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,Gymnoscopelus spp.,1.88,190.06,555.49,277.74,3.537,35.072
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,Gymnoscopelus spp.,4.52,342.82,1208.36,604.18,3.205,42.297
153,130,Day,17:30:00,29/11/2017,1.631213947,Scotia Sea,Gymnoscopelus spp.,3.46,317.93,895.14,447.57,3.102,33.786
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,5.28,514.86,1274.54,637.27,2.898,29.706
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,15.82,940.4,770.79,385.4,0.585,9.836
286,130,Night,01:07:00,10/12/2017,1.923091941,Scotia Sea,Gymnoscopelus spp.,6.69,452.98,437.64,218.82,0.785,11.594
389,250,Day,11:07:00,17/06/2018,9.052003668,Benguela,Gymnoscopelus spp.,6.5,1210.83,3911.41,1955.71,7.219,38.764
389,500,Day,11:07:00,17/06/2018,5.568961538,Benguela,Melamphidae,3.78,122.77,444.12,222.06,1.411,43.411
389,500,Day,11:07:00,17/06/2018,5.568961538,Benguela,Melamphidae,3.78,120.44,460.53,230.26,1.463,45.883
389,500,Day,11:07:00,17/06/2018,5.568961538,Benguela,Bathylagidae,7.07,91.55,54.31,27.16,0.092,7.12
389,500,Day,11:07:00,17/06/2018,5.568961538,Benguela,Bathylagidae,7.07,187.85,183.04,91.52,0.31,11.693
380,250,Night,18:32:00,16/06/2018,9.052003668,Benguela,Cyclothone spp.,0.23,13.21,21.58,10.79,1.121,19.606
380,250,Night,18:32:00,16/06/2018,9.052003668,Benguela,Cyclothone spp.,0.23,11.02,22.23,11.12,1.154,24.2
389,250,Day,11:07:00,17/06/2018,9.052003668,Benguela,Nemichthyidae,5.02,295.27,5648.71,2824.36,13.506,229.571
389,250,Day,11:07:00,17/06/2018,9.052003668,Benguela,Nemichthyidae,5.02,279.31,2098.92,1049.46,5.019,90.177
166,10,Night,21:35:00,04/06/2018,15.66676096,Benguela,Gymnoscopelus spp.,1.71,123.43,859.78,429.89,6.029,83.586
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Gymnoscopelus spp.,3.15,279.31,1354.44,677.22,5.154,58.192
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Gymnoscopelus spp.,3.31,292.43,1488.42,744.21,5.388,61.077
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Gymnoscopelus spp.,3.58,284.6,1248.14,624.07,4.184,52.627
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Cyclothone spp.,0.38,25.85,46.42,23.21,1.482,21.552
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Cyclothone spp.,0.35,21.97,63.85,31.92,2.179,34.876
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Cyclothone spp.,0.23,21.67,59.09,29.55,3.032,32.716
166,187.5,Night,21:35:00,04/06/2018,11.79971781,Benguela,Nemichthyidae,5.76,324.06,1535.07,767.54,3.199,56.844
166,187.5,Night,21:35:00,04/06/2018,11.79971781,Benguela,Nemichthyidae,5.99,486.88,10491.58,5245.79,21.034,258.583
166,187.5,Night,21:35:00,04/06/2018,11.79971781,Benguela,Nemichthyidae,4.54,389.16,557.02,278.51,1.472,17.176
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Gymnoscopelus spp.,6.17,367.73,529.71,264.85,1.031,17.286
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Gymnoscopelus spp.,5.36,387.75,589.02,294.51,1.319,18.229
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Gymnoscopelus spp.,5.81,713.48,998.77,499.38,2.062,16.798
178,375,Day,12:45:00,05/06/2018,8.479360511,Benguela,Gymnoscopelus spp.,7.16,429.12,788.65,394.32,1.321,22.054
178,375,Day,12:45:00,05/06/2018,8.479360511,Benguela,Gymnoscopelus spp.,6.33,401.93,1568.79,784.4,2.974,46.838
178,375,Day,12:45:00,05/06/2018,8.479360511,Benguela,Gymnoscopelus spp.,6.8,378.42,1387.35,693.68,2.447,43.994
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Melamphidae,20.93,1130.19,4071.69,2035.84,2.334,43.232
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Melamphidae,16.03,557.03,715.53,357.77,0.536,15.415
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Melamphidae,4.5,169.21,327.9,163.95,0.874,23.254
204,375,Night,17:52:00,07/06/2018,8.543128864,Benguela,Melamphidae,11.88,509.93,409.16,204.58,0.413,9.629
204,375,Night,17:52:00,07/06/2018,8.543128864,Benguela,Melamphidae,16.78,717.37,722.57,361.28,0.517,12.087
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Bathylagidae,5.56,118.17,176.97,88.49,0.382,17.972
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Bathylagidae,12.01,241.45,177.24,88.62,0.177,8.809
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Bathylagidae,19,380.82,414.55,207.28,0.262,13.063
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Bathylagidae,3.99,62.52,38.76,19.38,0.117,7.441
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Bathylagidae,7.66,191.18,149.38,74.69,0.234,9.376
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Bathylagidae,5.77,135.18,52.52,26.26,0.109,4.662
204,375,Night,17:52:00,07/06/2018,8.543128864,Benguela,Bathylagidae,10.75,236.75,259.64,129.82,0.29,13.16
204,375,Night,17:52:00,07/06/2018,8.543128864,Benguela,Bathylagidae,8.99,170.18,227.95,113.98,0.304,16.074
204,375,Night,17:52:00,07/06/2018,8.543128864,Benguela,Bathylagidae,6.01,168.81,501.49,250.75,1.001,35.649
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Bathylagidae,10.96,186.39,80.62,40.31,0.088,5.19
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Bathylagidae,4.29,87.81,47.2,23.6,0.132,6.45
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Bathylagidae,6.57,98.36,72.99,36.5,0.133,8.906
240,187.5,Night,17:43:00,09/06/2018,11.8705273,Benguela,Bathylagidae,1.15,31.14,106.36,53.18,1.107,40.99
240,187.5,Night,17:43:00,09/06/2018,11.8705273,Benguela,Bathylagidae,1.13,43.43,216.94,108.47,2.309,59.938
240,187.5,Night,17:43:00,09/06/2018,11.8705273,Benguela,Bathylagidae,1.12,26.54,101.25,50.63,1.084,45.772
241,375,Night,20:00:00,09/06/2018,8.484545203,Benguela,Bathylagidae,4.45,57.66,147.6,73.8,0.398,30.717
204,625,Night,17:52:00,07/06/2018,5.724342342,Benguela,Cyclothone spp.,0.21,6.71,8.14,4.07,0.455,14.569
241,375,Night,20:00:00,09/06/2018,8.484545203,Benguela,Cyclothone spp.,0.19,7.04,10.91,5.45,0.69,18.588
241,375,Night,20:00:00,09/06/2018,8.484545203,Benguela,Cyclothone spp.,0.23,10.44,22.75,11.38,1.212,26.162
241,375,Night,20:00:00,09/06/2018,8.484545203,Benguela,Cyclothone spp.,0.29,16.4,30.2,15.1,1.236,22.095
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Cyclothone spp.,0.14,4.37,9.9,4.95,0.859,27.222
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Cyclothone spp.,0.26,11,12.71,6.36,0.597,13.862
178,625,Day,12:45:00,05/06/2018,5.68159155,Benguela,Cyclothone spp.,0.18,9.05,10.91,5.45,0.746,14.468
389,625,Day,11:07:00,17/06/2018,5.568961538,Benguela,Cyclothone spp.,0.19,7.8,13.62,6.81,0.872,20.949
389,625,Day,11:07:00,17/06/2018,5.568961538,Benguela,Cyclothone spp.,0.26,7.74,10.33,5.16,0.477,16.003
389,625,Day,11:07:00,17/06/2018,5.568961538,Benguela,Cyclothone spp.,0.31,7.54,13,6.5,0.507,20.683
166,67.5,Night,21:35:00,04/06/2018,15.66676096,Benguela,Gymnoscopelus spp.,3.93,298.14,2059.92,1029.96,6.288,82.911
166,67.5,Night,21:35:00,04/06/2018,15.66676096,Benguela,Gymnoscopelus spp.,1.56,105.83,2091.8,1045.9,16.128,237.188
241,375,Night,20:00:00,09/06/2018,8.484545203,Benguela,Gymnoscopelus spp.,5.65,346.99,633.5,316.75,1.346,21.908
