C_N_Ratio,ID,Species,MyNumber
4.21,ELC 73,ELC,BAS_73
3.63,ELC 75,ELC,BAS_75
4.01,ELC 76/84-1,ELC,NA
3.66,ELC 76/84-2,ELC,NA
4.52,ELC 77,ELC,BAS_77
5.11,ELC 78,ELC,BAS_78
4.15,ELC 79,ELC,BAS_79
3.79,ELC 79b,ELC,BAS_79
3.67,ELC 80/85-1,ELC,NA
4.8,ELC 80/85-2,ELC,NA
4.37,ELC 81,ELC,BAS_81
4.04,ELC 82/83-1,ELC,NA
3.83,ELC 82/83-2,ELC,NA
5.18,ELC 86,ELC,BAS_86
3.79,ELC 87,ELC,BAS_87
4.91,ELC 88,ELC,BAS_88
4.54,ELC 89,ELC,BAS_89
4.44,ELN 19,ELN,BAS_19
4.45,ELN 21-1,ELN,BAS_21
4.72,ELN 21-2,ELN,BAS_21
4.28,ELN 31,ELN,BAS_31
5.17,ELN 32,ELN,BAS_32
4.5,ELN 33,ELN,BAS_33
4.64,ELN 35,ELN,BAS_35
4.85,ELN 36,ELN,BAS_36
4.72,ELN 37,ELN,BAS_37
4.98,ELN 38,ELN,BAS_38
4.47,ELN 42,ELN,BAS_42
5.08,ELN 52,ELN,BAS_52
4.88,ELN 59,ELN,BAS_59
5.43,ELN 60,ELN,BAS_60
4.91,ELN 62,ELN,BAS_62
4.75,ELN 62,ELN,BAS_62
5.82,ELN 65,ELN,BAS_65
5.4,ELN 67,ELN,BAS_67
4.37,ELN 69,ELN,BAS_69
5.25,ELN 71,ELN,BAS_71
4.53,ELN 72,ELN,BAS_72
5.38,GYN 120,GYN,BAS_120
7.74,GYN 121,GYN,BAS_121
7.4,GYN 122,GYN,BAS_122
7.8,GYN 123,GYN,BAS_123
7.93,GYN 124,GYN,BAS_124
4.88,GYN 125,GYN,BAS_125
7.14,GYN 126,GYN,BAS_126
8.37,GYN 127,GYN,BAS_127
7.6,GYN 128,GYN,BAS_128
5.9,GYN 129,GYN,BAS_129
8.55,GYN 130,GYN,BAS_130
4.77,GYN 220,GYN,BAS_220
5.37,GYR 100,GYR,BAS_100
4.95,GYR 101,GYR,BAS_101
4.8,GYR 102,GYR,BAS_102
4.82,GYR 103,GYR,BAS_103
5.64,GYR 104,GYR,BAS_104
4.87,GYR 105,GYR,BAS_105
5.07,GYR 106,GYR,BAS_106
4.56,GYR 107,GYR,BAS_107
5.21,GYR 110,GYR,BAS_110
4.95,GYR 111,GYR,BAS_111
5.3,GYR 112,GYR,BAS_112
5.43,GYR 90,GYR,BAS_90
5.2,GYR 91,GYR,BAS_91
5.39,GYR 93,GYR,BAS_93
4.81,GYR 94,GYR,BAS_94
5.17,GYR 95,GYR,BAS_95
4.63,GYR 96-1,GYR,BAS_96
5.5,GYR 96-2,GYR,BAS_96
4.57,GYR 97,GYR,BAS_97
4.94,GYR 98,GYR,BAS_98
5.2,GYR 99,GYR,BAS_99
5.01,KRA 145,KRA,BAS_145
5.11,KRA 146,KRA,BAS_146
5.01,KRA 151,KRA,BAS_151
5.14,KRA 152,KRA,BAS_152
6.14,KRA 153,KRA,BAS_153
6.2,KRA 155,KRA,BAS_155
7.2,KRA 156,KRA,BAS_156
5.56,KRA 165,KRA,BAS_165
6.06,KRA 166,KRA,BAS_166
5.11,KRA 167,KRA,BAS_167
6.39,KRA 168,KRA,BAS_168
7.2,KRA 169,KRA,BAS_169
5.29,KRA 170,KRA,BAS_170
4.99,KRA 172,KRA,BAS_172
6.26,KRA 174,KRA,BAS_174
5.08,KRA 175,KRA,BAS_175
5.04,KRA 176,KRA,BAS_176
5.59,KRA 177,KRA,BAS_177
5.76,KRA 178,KRA,BAS_178
4.07,PRM 188,PRM,BAS_188
4.19,PRM 189,PRM,BAS_189
4.37,PRM 190,PRM,BAS_190
4.58,PRM 192,PRM,BAS_192
5.57,PRM 193,PRM,BAS_193
5.22,PRM 194,PRM,BAS_194
4.31,PRM 195,PRM,BAS_195
4.82,PRM 196,PRM,BAS_196
3.57,PRM 200,PRM,BAS_200
3.71,PRM 201,PRM,BAS_201
4.32,PRM 203,PRM,BAS_203
3.59,PRM 204,PRM,BAS_204
4.07,PRM 205,PRM,BAS_205
4.4,PRM 212,PRM,BAS_212
4.25,PRM 213,PRM,BAS_213
3.93,PRM 214,PRM,BAS_214
4.72,PRM 215,PRM,BAS_215
3.74,PRM 217,PRM,BAS_217
4.32,PRM 218,PRM,BAS_218
5.02,PRM 219,PRM,BAS_219
