Value,Isotope
-3.7,d13C
-5.5,d13C
-4,d13C
-5.6,d13C
-2.5,d13C
-6.5,d13C
-5.4,d13C
-1.3,d13C
-4.1,d13C
-3.2,d13C
-1.2,d13C
-0.9,d13C
-3.6,d13C
-0.6,d13C
-4.8,d13C
-6.1,d13C
-2.8,d13C
-6.1,d13C
-6.9,d13C
-4.3,d13C
-1.7,d13C
-2.4,d13C
-0.6,d13C
-0.9,d13C
-5.3,d13C
-4.2,d13C
-4.2,d13C
-0.8,d13C
-2.9,d13C
-1.4,d13C
-5.5,d13C
-4.1,d13C
-3.8,d13C
-2.5,d13C
-4.2,d13C
-4.5,d13C
-1.5,d13C
-7.9,d13C
-8.6,d13C
-4.6,d13C
-4.7,d13C
-6.4,d13C
-6.9,d13C
-3.5,d13C
-7.3,d13C
-6,d13C
-2.6,d13C
-5.7,d13C
-3.7,d13C
-5.7,d13C
-3.5,d13C
-2,d13C
-4.6,d13C
-4,d13C
-3.3,d13C
-4,d13C
-4.6,d13C
-0.8,d13C
-1,d13C
-0.2,d13C
-4.8,d13C
-2.8,d13C
-4.5,d13C
-2.5,d13C
-4.1,d13C
-3,d13C
-0.6,d18O
0.8,d18O
0.6,d18O
0.3,d18O
0.5,d18O
0.4,d18O
1.1,d18O
0.6,d18O
1.7,d18O
1.3,d18O
-0.2,d18O
1.1,d18O
-0.1,d18O
1,d18O
-0.3,d18O
0.4,d18O
-1.8,d18O
0.6,d18O
0.8,d18O
-0.2,d18O
2.2,d18O
2.4,d18O
2.4,d18O
1.3,d18O
0.8,d18O
-0.6,d18O
-0.9,d18O
1.4,d18O
2,d18O
1.1,d18O
0.5,d18O
2,d18O
2.7,d18O
-1.5,d18O
0.7,d18O
0.8,d18O
0.6,d18O
-1.6,d18O
-1.5,d18O
-0.8,d18O
-0.2,d18O
0.4,d18O
0.3,d18O
0.5,d18O
-0.1,d18O
0.7,d18O
1.4,d18O
-0.7,d18O
-0.6,d18O
0.3,d18O
1.3,d18O
1.7,d18O
1.1,d18O
0.5,d18O
1.3,d18O
0.2,d18O
-1.1,d18O
-0.9,d18O
2.4,d18O
-0.2,d18O
3.8,d18O
3.1,d18O
4,d18O
3.2,d18O
3.6,d18O
3.6,d18O
