Value,Isotope
-4.86,d13C
-5.8,d13C
-4.84,d13C
-5.55,d13C
-4.56,d13C
-4.66,d13C
-5.38,d13C
-4.07,d13C
-4.56,d13C
-4.6,d13C
-5.37,d13C
-5.66,d13C
-4.17,d13C
-4.11,d13C
-3.76,d13C
-4.81,d13C
-5.24,d13C
-5.22,d13C
-4.52,d13C
-3.11,d13C
-3.03,d13C
-2.71,d13C
-2.73,d13C
-2.51,d13C
-3.13,d13C
-3.06,d13C
-2.54,d13C
-2.56,d13C
-2.36,d13C
-3.03,d13C
-2.98,d13C
-3.51,d13C
-2.77,d13C
-2.43,d13C
-2.73,d13C
-2.99,d13C
-5.18,d13C
-5.17,d13C
-5.04,d13C
-4.72,d13C
-4.21,d13C
-4.27,d13C
-4.53,d13C
-4.14,d13C
-4.87,d13C
-4.34,d13C
-3.81,d13C
-4.52,d13C
-5.01,d13C
-4.19,d13C
-4.25,d13C
-4.19,d13C
-4.08,d13C
-4.91,d13C
-5.19,d13C
-4.1,d13C
-2.59,d13C
-2.19,d13C
-2.5,d13C
-2.43,d13C
-2.5,d13C
-2.74,d13C
-2.4,d13C
-2.25,d13C
-2.36,d13C
-3.17,d13C
-2.59,d13C
-2.87,d13C
-3.61,d13C
-3.83,d13C
-5.07,d13C
-4.39,d13C
-4.28,d13C
-3.25,d13C
-4.49,d13C
-4.24,d13C
-4.04,d13C
-4.31,d13C
-4.2,d13C
-3.8,d13C
-4.4,d13C
-3.95,d13C
-4.15,d13C
-3.65,d13C
-4.16,d13C
-3.65,d13C
-4.46,d13C
-3.84,d13C
-3.13,d13C
-1.62,d13C
-2.27,d13C
-3.07,d13C
-3.95,d13C
-1.95,d13C
-1.76,d13C
-1.78,d13C
-2.85,d13C
-3.37,d13C
-3.43,d13C
-3.27,d13C
-3.33,d13C
-3.88,d13C
-3.72,d13C
-3.08,d13C
-3.4,d13C
-4.02,d13C
-2.97,d13C
-3.9,d13C
4.04,d18O
3.66,d18O
3.71,d18O
4.2,d18O
3.5,d18O
3.73,d18O
3.6,d18O
3.83,d18O
3.7,d18O
3.8,d18O
3.69,d18O
3.71,d18O
4.09,d18O
3.78,d18O
3.81,d18O
3.89,d18O
4.08,d18O
3.73,d18O
3.64,d18O
2.92,d18O
3.41,d18O
3.03,d18O
2.94,d18O
3.4,d18O
2.87,d18O
3.21,d18O
3.03,d18O
2.85,d18O
2.97,d18O
3.37,d18O
3.02,d18O
2.88,d18O
3.21,d18O
3.38,d18O
2.87,d18O
3.07,d18O
3.8,d18O
4.03,d18O
3.98,d18O
4.32,d18O
4.19,d18O
4.13,d18O
3.6,d18O
3.91,d18O
3.94,d18O
3.83,d18O
3.9,d18O
4.25,d18O
3.79,d18O
3.98,d18O
4.09,d18O
3.98,d18O
3.9,d18O
4.08,d18O
4.36,d18O
3.87,d18O
3.18,d18O
3.24,d18O
3.02,d18O
3.21,d18O
2.91,d18O
3.37,d18O
3.18,d18O
3.14,d18O
3.06,d18O
3.13,d18O
3.42,d18O
3.48,d18O
3.94,d18O
3.57,d18O
3.44,d18O
3.77,d18O
3.5,d18O
3.36,d18O
3.72,d18O
3.6,d18O
3.64,d18O
3.78,d18O
3.14,d18O
3.25,d18O
3.91,d18O
3.65,d18O
3.78,d18O
3.45,d18O
3.52,d18O
3.49,d18O
3.84,d18O
3.81,d18O
3.85,d18O
3.41,d18O
3.49,d18O
3.99,d18O
3.52,d18O
3.55,d18O
3.48,d18O
3.49,d18O
3.26,d18O
3.32,d18O
3.71,d18O
3.38,d18O
3.65,d18O
3.64,d18O
3.52,d18O
3.94,d18O
3.67,d18O
3.71,d18O
3.83,d18O
3.8,d18O
