Value,Factor
-3.7,d13C
-1.9,d13C
-1.7,d13C
-1.3,d13C
-4.5,d13C
-3.4,d13C
-5.5,d13C
-5.6,d13C
-4,d13C
-3,d13C
-2.5,d13C
-6.4,d13C
-6.5,d13C
-3.2,d13C
-4.1,d13C
-4.8,d13C
-2.8,d13C
-1.8,d13C
-3.5,d13C
-5.5,d13C
-7.3,d13C
-4.6,d13C
-6,d13C
-2.6,d13C
-4.8,d13C
-2.8,d13C
-4.3,d13C
-2.4,d13C
-4.6,d13C
-0.7,d13C
-4.5,d13C
-2.5,d13C
-3.2,d13C
-2.2,d13C
-0.8,d13C
-4.1,d13C
-0.5,d13C
-3.8,d13C
-5.7,d13C
-4.2,d13C
-0.9,d13C
-1.7,d13C
-0.8,d13C
-2.2,d13C
-1.2,d13C
-1.8,d13C
-1.4,d13C
-4.4,d13C
-6.1,d13C
-5.7,d13C
-4.5,d13C
-2.5,d13C
-3.5,d13C
-2,d13C
-4,d13C
-4.6,d13C
-1.8,d13C
-4.2,d13C
-0.2,d13C
-4.2,d13C
-3,d13C
-0.9,d13C
-1.4,d13C
-0.9,d13C
-6.1,d13C
-6.9,d13C
-6.9,d13C
-3.6,d13C
-1.5,d13C
-2.5,d13C
-0.6,d13C
-4.7,d13C
-4,d13C
-4.1,d13C
-3.3,d13C
-0.8,d13C
-7.9,d13C
-8.6,d13C
-5.3,d13C
-5.4,d13C
-1.3,d13C
-2.4,d13C
-2.2,d13C
2.2,K_caud
1,K_caud
1.6,K_caud
1.6,K_caud
2.9,K_caud
1.5,K_caud
4.6,K_caud
4,K_caud
3.2,K_caud
2.5,K_caud
2.6,K_caud
3.3,K_caud
3.3,K_caud
2.5,K_caud
1.4,K_caud
2.1,K_caud
2.6,K_caud
0.2,K_caud
3.9,K_caud
1.7,K_caud
2.6,K_caud
3.7,K_caud
4.2,K_caud
3.8,K_caud
1.5,K_caud
1.1,K_caud
2.2,K_caud
1.2,K_caud
2.2,K_caud
1.7,K_caud
1.1,K_caud
1.3,K_caud
1.1,K_caud
2.1,K_caud
1.7,K_caud
1.4,K_caud
0.7,K_caud
1.2,K_caud
3,K_caud
2.2,K_caud
1.8,K_caud
1.2,K_caud
0.8,K_caud
0.9,K_caud
1,K_caud
0.5,K_caud
0.9,K_caud
2,K_caud
3.9,K_caud
3.7,K_caud
2.6,K_caud
2.1,K_caud
2,K_caud
3.2,K_caud
2.9,K_caud
3.1,K_caud
0.8,K_caud
2.2,K_caud
1,K_caud
2.1,K_caud
0.9,K_caud
1.5,K_caud
0.7,K_caud
1.4,K_caud
3,K_caud
3.9,K_caud
4.2,K_caud
0.7,K_caud
0.9,K_caud
1.8,K_caud
2.5,K_caud
1.3,K_caud
2,K_caud
3.5,K_caud
3,K_caud
2.7,K_caud
5.4,K_caud
6,K_caud
2.9,K_caud
2.8,K_caud
3.2,K_caud
1.5,K_caud
1.4,K_caud
