"Station","Date","Year","Lat_dec","Long_dec","Salinity","Min_Depth","Max_Depth","Depth_Mid","Water_Depth","Min_Dist_From_Seafloor","Gear","Haul_Type","Location","d18O_SW","sd_d18O_SW","d18O_SW","sd_d18O_SW"
"JR15004/60/1","02/02/2016",2016,-59.96,-47.18,34.67,700,1000,850,NA,NA,"RMT25","Stratified","Oceanic",-0.123062443,0.677797416,-0.123062443435593,0.677797416186163
"JR15004/65/2","03/02/2016",2016,-60.03,-46.58,34.67,400,700,550,NA,NA,"RMT25","Stratified","Oceanic",-0.123062443,0.677797416,-0.123062443435593,0.677797416186163
"JR15004/66/1","04/02/2016",2016,-60.03,-46.62,34.63,200,400,300,NA,NA,"RMT25","Stratified","Oceanic",-0.132668294,0.677403268,-0.132668294048427,0.677403268249686
"JR15004/72/1","04/02/2016",2016,-60.07,-46.06,34.67,700,1000,850,NA,NA,"RMT25","Stratified","Oceanic",-0.123062443,0.677797416,-0.123062443435593,0.677797416186163
"JR15004/73/1","05/02/2016",2016,-60.1,-46.04,34.63,200,400,300,NA,NA,"RMT25","Stratified","Oceanic",-0.132668294,0.677403268,-0.132668294048427,0.677403268249686
"JR15004/82/1","08/02/2016",2016,-60.32,-46.49,34,NA,NA,63,2646,2583,"RMT8","Target",NA,-0.283960441,0.671226072,-0.283960441200574,0.671226071523715
"JR15004/91/1","09/02/2016",2016,-60.23,-46.19,34.67,700,1000,850,NA,NA,"RMT25","Stratified","Shelf_break",-0.123062443,0.677797416,-0.123062443435593,0.677797416186163
"JR15004/96/1","14/02/2016",2016,-60.31,-46.31,33.98,200,400,300,NA,NA,"RMT25","Stratified","Shelf_break",-0.288763367,0.671030923,-0.288763366506992,0.671030923008684
"JR15004/96/2","14/02/2016",2016,-60.31,-46.31,33.98,0,200,100,NA,NA,"RMT25","Stratified","Shelf_break",-0.288763367,0.671030923,-0.288763366506992,0.671030923008684
"JR16003/112/2","31/12/2016",2016,-55.26,-41.2,33.73,0,1000,NA,NA,NA,"RMT25","Oblique",NA,-0.348799933,0.66859658,-0.348799932837208,0.66859657975926
"JR16003/113/1","01/01/2017",2017,-55.29,-41.35,33.73,197,398,297,3544,3146,"RMT25","Stratified",NA,-0.348799933,0.66859658,-0.348799932837208,0.66859657975926
"JR16003/113/2","01/01/2017",2017,-55.3,-41.36,33.73,28,211,119,3544,3333,"RMT25","Stratified",NA,-0.348799933,0.66859658,-0.348799932837208,0.66859657975926
"JR16003/129/1","03/01/2017",2017,-54.68,-45.22,34.26,196,407,301,4711,4305,"RMT25","Stratified",NA,-0.221522412,0.673768368,-0.221522412217149,0.673768367534717
"JR16003/129/2","03/01/2017",2017,-54.66,-45.2,33.81,82,208,145,4757,4549,"RMT25","Stratified",NA,-0.329588232,0.669374557,-0.329588231611538,0.669374556741628
"JR16003/146/1","05/01/2017",2017,-53.94,-49.17,34.51,699,991,845,4605,3614,"RMT25","Stratified",NA,-0.161485846,0.676222208,-0.161485845886932,0.676222207526325
"JR16003/146/2","05/01/2017",2017,-53.95,-49.19,34.36,398,708,553,4582,3874,"RMT25","Stratified",NA,-0.197507786,0.674748812,-0.197507785685062,0.67474881225608
"JR16003/147/1","05/01/2017",2017,-53.96,-49.24,34.11,198,399,298,4562,4164,"RMT25","Stratified",NA,-0.257544352,0.672300445,-0.257544352015278,0.672300444555413
"JR16003/39/1","20/12/2016",2016,-53.5,-39.25,33.95,19,202,111,NA,NA,"RMT8","Oblique",NA,-0.295967754,0.670738311,-0.295967754466616,0.670738311284194
"JR16003/39/2","20/12/2016",2016,-53.53,-39.25,33.96,15,209,112,NA,NA,"RMT8","Oblique",NA,-0.293566292,0.670835834,-0.293566291813408,0.670835833710671
"JR177/161/2","16/01/2008",2008,-59.68,-44.03,34.55,203,404,303,4386,3982,"RMT25","Stratified",NA,-0.151879995,0.676615664,-0.151879995274098,0.676615663517277
"JR177/165/2","16/01/2008",2008,-59.69,-44.09,34.23,11,209,110,3839,3630,"RMT25","Stratified",NA,-0.2287268,0.673474519,-0.228726800176775,0.673474519006955
"JR177/199/2","20/01/2008",2008,-58.01,-43.12,34.52,204,415,309,2940,2526,"RMT25","Stratified",NA,-0.159084383,0.67632055,-0.159084383233723,0.676320549840964
"JR177/205/1","20/01/2008",2008,-58.02,-42.97,34.68,704,1003,854,2857,1854,"RMT25","Stratified",NA,-0.120660981,0.677895989,-0.120660980782385,0.677895989099181
"JR177/301/1","02/02/2008",2008,-52.9,-40.21,34.48,203,402,303,3797,3395,"RMT25","Stratified",NA,-0.168690234,0.675927267,-0.168690233846559,0.675927267403135
"JR177/305/1","03/02/2008",2008,-52.83,-40.12,34.48,200,401,301,3789,3388,"RMT25","Stratified",NA,-0.168690234,0.675927267,-0.168690233846559,0.675927267403135
"JR177/305/2","03/02/2008",2008,-52.86,-40.1,34.05,16,206,111,3794,3588,"RMT25","Stratified",NA,-0.271953128,0.671714202,-0.271953127934531,0.671714201547008
"JR177/328/1","05/02/2008",2008,-52.72,-39.08,34.48,204,405,305,3725,3320,"RMT25","Stratified",NA,-0.168690234,0.675927267,-0.168690233846559,0.675927267403135
"JR177/334/2","05/02/2008",2008,-52.64,-39.09,34.24,407,720,563,3725,3005,"RMT25","Stratified",NA,-0.226325338,0.673572454,-0.226325337523565,0.67357245388103
"JR177/357/1","06/02/2008",2008,-50.55,-34.05,34.24,4,207,105,4767,4560,"RMT25","Stratified",NA,-0.226325338,0.673572454,-0.226325337523565,0.67357245388103
"JR38/185/1","29/12/1998",1998,-54.19,-35.06,32.91,NA,NA,NA,NA,NA,"RMT8",NA,NA,-0.54571987,0.660678142,-0.545719870400318,0.660678141585616
