,lat_dec,long_dec,DIC_surf,Souss,Phyto,Sal,Sal_sd
1,54.08333333,-13.91666667,1.4,-0.12,-23,35.5,0.1
162,46.889835,-49.642755,1.5,-0.14,-23,34,0.4
176,50.269691,-48.803841,1.6,-0.12,-25,34,0.4
216,43.82898,-52.84684,1.3,-0.14,-21,34,0.4
222,43.39014,-56.562916,1.3,-0.14,-20,33.5,0.4
277,74.945076,36.90313,1.5,-0.12,-25,34.5,0.3
283,62.592856,-7.038355,1.4,-0.12,-24,35,0.1
285,53.822155,-4.479561,1.4,-0.16,-22.5,34.5,0.4
287,57.699752,1.868726,1.4,-0.16,-23,34.75,0.3
299,66.443419,8.799507,1.4,-0.12,-24,33,0.4
335,44.185347,-62.183023,1.3,-0.14,-21,32.5,0.4
531,54.06417,-158.446566,1.5,-0.18,-25.5,32.75,0.2
565,52.320891,-133.190708,1.5,-0.2,-21,32,0.4
