Lat_dec,Long_dec,DIC,Suess
-60.2326,-46.1921,1.9,-0.12
-60.0345,-46.5806,1.9,-0.12
-60.0737,-46.0612,1.9,-0.12
-60.3158,-46.4933,1.9,-0.12
-58.01,-43.05,1.9,-0.12
-58.02,-42.97,1.9,-0.12
-54.99,-49.105,1.7,-0.14
-50.55,-34.05,1.6,-0.16
-55.23,-36.15,1.8,-0.16
-60.0328,-46.6157,1.9,-0.12
-59.9641,-47.1774,1.9,-0.12
-60.3073,-46.7017,1.9,-0.12
-52.86,-40.1,1.6,-0.16
-60.1027,-46.0406,1.9,-0.12
-59.69,-44.09,1.9,-0.12
-59.68,-44.14,1.9,-0.12
-52.64,-39.09,1.7,-0.16
-52.72,-39.08,1.7,-0.16
-52.83,-40.12,1.7,-0.16
-52.9,-40.21,1.7,-0.16
