Family,sciname,n,d13C,d18O,K_caud,Troph,Max_depth,Paper,Myct
Acanthuridae,Acanthurus triostegus,8,-3.7,-0.6,2.2,2.8,90,Sherwood_Rose_2003,Other
Alepocephalidae,Alepocephalus agassizii,6,-1.9,2.2,1.0,3.9,2500,My_Data,Other
Alepocephalidae,Alepocephalus bairdii,3,-1.7,2.7,1.6,3.7,1700,My_Data,Other
Moridae,Antimora rostrata,16,-1.3,2.9,1.6,3.6,3000,My_Data,Other
Trichiuridae,Aphanopus carbo,5,-4.5,1.7,2.9,4.5,1600,My_Data,Other
Argentinidae,Argentina silus,4,-3.4,2.2,1.5,3.3,1440,My_Data,Other
Ariommatidae,Ariomma regulus,1,-5.5,0.8,4.6,3.4,500,Sherwood_Rose_2003,Other
Arripidae,Arripis trutta,25,-5.6,0.3,4,3.9,30,Sherwood_Rose_2003,Other
Arripidae,Arripis truttacea,2,-4,0.6,3.2,4.3,80,Sherwood_Rose_2003,Other
Ipnopidae,Bathypterois dubius,3,-3.0,2.7,2.5,3.4,1950,My_Data,Other
Berycidae,Beryx splendens,11,-2.5,0.5,2.6,4,1300,Sherwood_Rose_2003,Other
Sparidae,Boops boops,11,-6.4,0.4,3.3,3.2,350,Sherwood_Rose_2003,Other
Bramidae,Brama brama,2,-6.5,0.4,3.3,4.1,1000,Sherwood_Rose_2003,Other
Bythitinae,Cataetyx laticeps,8,0.4,3.3,NA,3.8,2830,My_Data,Other
Centrolophidae,Centrolophus niger,1,-3.2,1.3,2.5,4,600,Sherwood_Rose_2003,Other
Myctophidae,Ceratoscopelus maderensis,1,-4.1,2,1.4,3.1,700,Sherwood_Rose_2003,Myctophidae
Macrouridae,Cetonurus globiceps,10,0.3,3.3,NA,3.9,4621,My_Data,Other
Chaetodontidae,Chaetodon ulietensis,4,-4.8,-0.3,2.1,3.3,30,Sherwood_Rose_2003,Other
Clupeidae,Clupea pallasii pallasii,19,-2.8,-1.8,2.6,3.4,150,Sherwood_Rose_2003,Other
Macrouridae,Coelorinchus caelorhincus,18,-0.5,2.2,NA,3.5,850,My_Data,Other
Macrouridae,Coelorinchus fasciatus,10,-0.6,2.8,NA,3.9,1086,My_Data,Other
Macrouridae,Coelorinchus labiatus,3,-0.8,2.6,NA,4.0,2220,My_Data,Other
Macrouridae,Coryphaenoides armatus,10,-0.1,3.9,NA,3.6,5500,My_Data,Other
Macrouridae,Coryphaenoides guentheri,1,-0.4,3.1,NA,3.3,2830,My_Data,Other
Macrouridae,Coryphaenoides mediterraneus,2,-0.7,2.8,NA,3.4,2900,My_Data,Other
Macrouridae,Coryphaenoides profundicolus,10,0.5,4.0,NA,3.5,4865,My_Data,Other
Macrouridae,Coryphaenoides rupestris,11,-1.8,3.3,0.2,3.5,2200,My_Data,Other
Sparidae,Dentex dentex,6,-3.5,0.5,3.9,4.5,200,Sherwood_Rose_2003,Other
Moronidae,Dicentrarchus labrax,1,-5.5,0.5,1.7,3.8,10,Sherwood_Rose_2003,Other
Sparidae,Diplodus annularis,1,-7.3,-0.1,2.6,3.4,90,Sherwood_Rose_2003,Other
Acanthuridae,Diplodus puntazzo,1,-4.6,1.1,3.7,2.9,150,Sherwood_Rose_2003,Other
Sparidae,Diplodus sargus,2,-6,0.7,4.2,3,50,Sherwood_Rose_2003,Other
Sparidae,Diplodus vulgaris,2,-2.6,1.4,3.8,3.2,160,Sherwood_Rose_2003,Other
Myctophidae,Electrona antarctica,19,-4.8,3.8,1.5,3.2,2000,My_data,Myctophidae
Myctophidae,Electrona carlsbergi,17,-2.8,3.1,1.1,3.2,1000,My_data,Myctophidae
Engraulidae,Engraulis encrasicolus,27,-4.3,-0.2,2.2,2.9,400,Sherwood_Rose_2003,Other
Epigonidae,Epigonus telescopus,7,-2.4,2.1,1.2,3.6,1200,My_Data,Other
Serranidae,Epinephelus multinotatus,327,-4.6,-0.8,2.2,3.9,100,Sherwood_Rose_2003,Other
Gadidae,Gadus morhua,93,-0.7,2.5,1.7,4.1,600,Both,Other
Myctophidae,Gymnoscopelus braueri,20,-4.5,4,1.1,3.2,1000,My_data,Myctophidae
Myctophidae,Gymnoscopelus nicholsi,12,-2.5,3.2,1.3,3.4,1000,My_data,Myctophidae
Moridae,Halargyreus johnsonii,4,-3.2,2.0,1.1,3.4,1400,My_Data,Other
Sebastidae,Helicolenus dactylopterus,8,-2.2,2.1,2.1,3.8,1000,My_Data,Other
Trachichthyidae,Hoplostethus atlanticus,17,-0.8,2.4,1.7,4.2,1844,Both,Other
Centrolophidae,Hyperoglyphe bythites,1,-1.2,-0.2,NA,NA,NA,Sherwood_Rose_2003,Other
Myctophidae,Krefftichthys anderssoni,20,-4.1,3.6,1.4,3.1,1000,My_data,Myctophidae
Moridae,Lepidion eques,19,-0.5,2.2,0.7,3.2,1850,My_Data,Other
Nototheniidae,Lepidonotothen squamifrons,2,-3.8,2.7,1.2,3.3,680,Sherwood_Rose_2003,Other
Sparidae,Lithognathus mormyrus,6,-5.7,-0.7,3,3.4,150,Sherwood_Rose_2003,Other
Lutjanidae,Lutjanus sebae,369,-4.2,-0.6,2.2,4.1,180,Sherwood_Rose_2003,Other
Macrouridae,Malacocephalus laevis,7,-1.2,2.2,NA,3.8,1000,My_Data,Other
Gadidae,Melanogrammus aeglefinus,101,-0.9,1.3,1.8,3.3,450,Sherwood_Rose_2003,Other
Gadidae,Merlangius merlangus,8,-1.7,2.2,1.2,3.9,200,Sherwood_Rose_2003,Other
Merlucciidae,Merluccius bilinearis,1,-0.8,1.4,0.8,4.4,914,Sherwood_Rose_2003,Other
Merlucciidae,Merluccius merluccius,20,-2.2,4.6,0.9,8.2,370,Both,Other
Gadidae,Micromesistius poutassou,10,-1.2,2.4,1.0,4.1,3000,My_Data,Other
Lotidae,Molva dypterygia,14,-1.8,2.9,0.5,4.5,1000,My_Data,Other
Moridae,Mora moro,14,-1.4,2.4,0.9,3.8,2500,My_Data,Other
Moronidae,Morone saxatilis,1,-4.4,NA,2,4.6,30,Sherwood_Rose_2003,Other
Cheilodactylidae,Nemadactylus macropterus,92,-6.1,0.4,3.9,3.4,450,Sherwood_Rose_2003,Other
Macrouridae,Nezumia aequalis,5,-1.0,2.9,NA,3.3,2300,My_Data,Other
Acanthuridae,Oblada melanura,10,-5.7,0.3,3.7,3.3,30,Sherwood_Rose_2003,Other
Salmonidae,Oncorhynchus nerka,34,-4.5,0.8,2.6,3.4,250,Sherwood_Rose_2003,Other
Osmeridae,Osmerus mordax,1,-2.5,-1.5,2.1,3.2,150,Sherwood_Rose_2003,Other
Acanthuridae,Pagellus erythrinus,3,-3.5,1.3,2,3.2,300,Sherwood_Rose_2003,Other
Acanthuridae,Pagrus auratus,64,-2,1.7,3.2,3.4,200,Sherwood_Rose_2003,Other
Stromateidae,Pampus argenteus,1,-4,0.2,2.9,3.3,110,Sherwood_Rose_2003,Other
Stromateidae,Peprilus triacanthus,1,-4.6,-1.1,3.1,3.9,15,Sherwood_Rose_2003,Other
Phycidae,Phycis blennoides,15,-1.8,2.3,0.8,3.7,800,My_Data,Other
Pomatomidae,Pomatomus saltatrix,226,-4.2,0.7,2.2,4.3,200,Sherwood_Rose_2003,Other
Triglidae,Prionotus evolans,1,-0.2,-0.2,1,4.1,180,Sherwood_Rose_2003,Other
Lutjanidae,Pristipomoides filamentosus,1,-4.2,-0.9,2.1,3.6,400,Sherwood_Rose_2003,Other
Myctophidae,Protomyctophum bolini,20,-3,3.6,0.9,3,1000,My_data,Myctophidae
Centrolophidae,Psenopsis obscura,1,-0.9,1.1,1.5,NA,800,Sherwood_Rose_2003,Other
Moridae,Pseudophycis barbata,4,-1.4,1.1,0.7,3.5,300,Sherwood_Rose_2003,Other
Alepocephalidae,Rouleina attrita,3,-0.9,3.1,1.4,3.5,2100,My_Data,Other
Clupeidae,Sardina pilchardus,19,-6.1,0.6,3,3.4,100,Sherwood_Rose_2003,Other
Clupeidae,Sardinops sagax,588,-6.9,0.8,3.9,2.5,200,Sherwood_Rose_2003,Other
Sparidae,Sarpa salpa,8,-6.9,0.3,4.2,2,70,Sherwood_Rose_2003,Other
