"MyNumber","ID","sciname","Label","SL","Stage","Sex","Station","Muscle","Otolith","Lat_dec.x.x","Long_dec.x","Year.x","Weight.x","Min_Depth","Max_Depth","DIC","Suess","Depth_Mid","d13C","d18O","d13C_musc","d13C_musc_SD","d18O_SW","sd_d18O_SW","mean_M","sd_M","se_M","mean_Temp","sd_Temp","se_Temp"
"BAS_19","#113","Electrona antarctica","ELN",73,"2","F","JR15004/91/1",1,"Y",-60.2326,-46.1921,2016,5,700,1000,1.8,-0.08,850,-4.86,4.04,-27.68,0,-0.123062443,0.677797416,0.211486904799184,0.0107482571003222,0.000196235428923717,0.684939167935351,2.30074957666056,0.0297025493140003
"BAS_21","134","Electrona antarctica","ELN",76,"1","M","JR15004/65/2",2,"Y",-60.0345,-46.5806,2016,5,400,700,1.8,-0.08,550,-5.8,3.66,-27.1,0.32,-0.123062443,0.677797416,0.248029786569306,0.0121954557273237,0.000222657540030359,1.41240643552139,2.33550067007314,0.0301511840008318
"BAS_31","#125","Electrona antarctica","ELN",70,"4","F","JR15004/72/1",1,"Y",-60.0737,-46.0612,2016,4.4,700,1000,1.8,-0.08,850,-4.84,3.71,-26.66,0,-0.123062443,0.677797416,0.218251449854185,0.0113280056670159,0.000206820141179033,1.29890073594706,2.33455435458992,0.0301389671204758
"BAS_32","#126","Electrona antarctica","ELN",87,"4","F","JR15004/72/1",1,"Y",-60.0737,-46.0612,2016,10,700,1000,1.8,-0.08,850,-5.55,4.2,-28.11,0,-0.123062443,0.677797416,0.231324041544085,0.0113120624178551,0.000206529058605522,0.40501761865209,2.31367959244121,0.0298694750999492
"BAS_33","#127","Electrona antarctica","ELN",71,"4","F","JR15004/72/1",1,"Y",-60.0737,-46.0612,2016,6.6,700,1000,1.8,-0.08,850,-4.56,3.5,-27.33,0,-0.123062443,0.677797416,0.203545481976164,0.0108784164831838,0.000198611803259193,1.75819130902198,2.33934427528703,0.0302008047307744
"BAS_35","#128","Electrona antarctica","ELN",81,"2","M","JR15004/72/1",1,"Y",-60.0737,-46.0612,2016,6.6,700,1000,1.8,-0.08,850,-4.66,3.73,-26.47,0,-0.123062443,0.677797416,0.213450979328316,0.011217897663633,0.000204809853271876,1.24563241285516,2.33145497558863,0.030098954309624
"BAS_37","64","Electrona antarctica","ELN",78,"2","M","JR177/199/2",1,"Y",-58.01,-43.05,2008,6.6,204.4,414.5,1.8,-0.08,309.45,-5.38,3.6,-27.72,0,-0.159084383,0.67632055,0.23161853904641,0.010711997564144,0.000195573423394069,1.44838630166459,2.27573619704596,0.0293796279717347
"BAS_38","43","Electrona antarctica","ELN",85,"4","F","JR177/205/1",1,"Y",-58.02,-42.97,2008,9,704.2,1003,1.8,-0.08,853.6,-4.07,3.83,-26.91,0,-0.120660981,0.677895989,0.192650345772185,0.00994220271300299,0.00018151895657336,1.07972151941549,2.32835176850719,0.0300588920784698
"BAS_42","#58","Electrona antarctica","ELN",72,"2","M","JR177/199/2",1,"Y",-58.01,-43.05,2008,4.5,204.4,414.5,1.8,-0.08,309.45,-4.56,3.7,-27.48,0,-0.159084383,0.67632055,0.205562079002811,0.00996665711231394,0.000181965430777788,1.22129846694347,2.30156310791547,0.02971305195734
"BAS_52","#114","Electrona antarctica","ELN",76,"1","M","JR15004/91/1",1,"Y",-60.2326,-46.1921,2016,5.3,700,1000,1.8,-0.08,850,-4.6,3.8,-27.39,0,-0.123062443,0.677797416,0.204685487842008,0.0107900290607311,0.000196998077089958,1.1481918426466,2.35774645081812,0.0304383757953274
"BAS_59","57","Electrona antarctica","ELN",77,"3","F","JR16003/39/1",1,"Y",-53.5,-39.25,2016,6.1,19,202,1.9,-0.1,110.5,-5.37,3.69,-27.13,0,-0.295967754,0.670738311,0.235187328130744,0.0117226755822951,0.000214025795024602,1.00720826990125,2.31901925957614,0.0299384099062422
"BAS_60","6","Electrona antarctica","ELN",52,"1","M","JR16003/113/1",1,"Y",-55.29,-41.35,2016,1.8,196.7,398,1.85,-0.09,297.35,-5.66,3.71,-27.2,0,-0.348799933,0.66859658,0.243586088448972,0.0117069905480292,0.000213739426788512,0.797513361766619,2.30891696019231,0.0298079897820023
"BAS_61","55","Electrona antarctica","ELN",45,NA,"F","JR16003/39/2",NA,"Y",-53.52,-39.25,2016,NA,15,209,1.9,-0.1,112,-4.17,4.09,-27.15,0.44,-0.293566292,0.670835834,0.193933016126615,0.0111592384933524,0.000203738888246302,0.198202750593488,2.28230303624042,0.0294644055011926
"BAS_62","8","Electrona antarctica","ELN",80,"3","M","JR16003/129/2",1,"Y",-54.66,-45.2,2016,6.2,82,208,1.85,-0.1,145,-4.11,3.78,-27.11,0,-0.329588232,0.669374557,0.191342913909156,0.0107143450717113,0.000195616282822353,0.703281597131164,2.29052233686429,0.0295705162159717
"BAS_65","11","Electrona antarctica","ELN",46,"1","M","JR16003/113/1",1,"Y",-55.29,-41.35,2016,1.3,196.7,398,1.85,-0.09,297.35,-3.76,3.81,-27.55,0,-0.348799933,0.66859658,0.176537596749989,0.0104176852722357,0.000190200040686429,0.657768538897989,2.31068580672096,0.0298308254924937
"BAS_67","4","Electrona antarctica","ELN",64,"1","M","JR16003/113/2",1,"Y",-55.3,-41.36,2016,3.3,27.7,210.6,1.85,-0.1,119.15,-4.81,3.89,-26.44,0,-0.348799933,0.66859658,0.219846408664624,0.0116653931754447,0.000212979966145262,0.46412680073746,2.32205777159538,0.0299776369277347
"BAS_69","3","Electrona antarctica","ELN",79,"2","M","JR16003/146/2",1,"Y",-53.95,-49.19,2016,6,398.3,707.9,1.9,-0.1,553.1,-5.24,4.08,-27.04,0,-0.197507786,0.674748812,0.231386153231895,0.01156738590665,0.000211190606414652,0.40334576485757,2.30831097845826,0.0298001665914553
"BAS_71","2","Electrona antarctica","ELN",83,"4","F","JR16003/112/2",1,"Y",-55.262,-41.203,2016,7.7,NA,NA,1.85,-0.09,NA,-5.22,3.73,-27.37,0,-0.348799933,0.66859658,0.227033379678324,0.0114521717737885,0.000209087093764264,0.810446022911499,2.26585572241987,0.0292520715928031
"BAS_72","5","Electrona antarctica","ELN",79,"3","F","JR16003/129/2",1,"Y",-54.66,-45.2,2016,6.1,82,208,1.85,-0.1,145,-4.52,3.64,-26.88,0,-0.329588232,0.669374557,0.20696419995306,0.0110181319018309,0.000201162646140003,0.991752575735828,2.30440739068638,0.0297497714900188
"BAS_73","158","Electrona carlsbergi","ELC",71,"1","M","JR177/357/1",1,"Y",-50.55,-34.05,2008,4.8,3.8,206.8,1.95,-0.1,105.3,-3.11,2.92,-24.27,0,-0.226325338,0.673572454,0.180525068590606,0.0107201326482817,0.000195721949030383,2.71686423873769,2.28758342980248,0.0295325750889501
"BAS_74","201","Electrona carlsbergi","ELC",72,NA,"M","JR38/185/1",NA,"Y",-54.19,-35.06,1998,6.3,NA,NA,1.9,-0.1,NA,-3.03,3.41,-24.39,0.71,-0.54571987,0.660678142,0.179401595588341,0.0109814417308012,0.000200492778329613,1.07543364210134,2.2607293101831,0.0291858898954071
"BAS_75","148","Electrona carlsbergi","ELC",73,NA,"U","JR177/357/1",1,"Y",-50.55,-34.05,2008,5.2,3.8,206.8,1.95,-0.1,105.3,-2.71,3.03,-23.25,0,-0.226325338,0.673572454,0.171872846318777,0.010735877613234,0.000196009411446099,2.44078954133936,2.3360656819404,0.0301584782726728
"BAS_76","150","Electrona carlsbergi","ELC",NA,NA,"U","JR177/357/1",2,"Y",-50.55,-34.05,2008,NA,3.8,206.8,1.95,-0.1,105.3,-2.73,2.94,-24.11,0,-0.226325338,0.673572454,0.167131905021273,0.0102875941805133,0.000187824913170866,2.69863596983393,2.3086076144243,0.0298039961453099
"BAS_77","145","Electrona carlsbergi","ELC",73,NA,"U","JR177/357/1",1,"Y",-50.55,-34.05,2008,6,3.8,206.8,1.95,-0.1,105.3,-2.51,3.4,-24.42,0,-0.226325338,0.673572454,0.156982396222867,0.0100211260535812,0.000182959893038305,1.8032973710232,2.26178861845459,0.029199565506387
