"","MyNumber","ID","sciname","Label","Station","Notes","Muscle","Otolith","Weight","Weight_SD","Sex","Year","Lat_dec","Long_dec","Min_Depth","Max_Depth","Temp","Sal","DIC","Suess"
"1","BAS_19","#113","Electrona antarctica","ELN","JR15004/91/1",NA,1,"Y",5,0,"F",2016,-60.23,-46.19,700,1000,NA,NA,1.8,-0.08
"2","BAS_21","134","Electrona antarctica","ELN","JR15004/65/2",NA,2,"Y",5,0,"M",2016,-60.03,-46.58,400,700,NA,NA,1.8,-0.08
"3","BAS_31","#125","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",4.4,0,"F",2016,-60.07,-46.06,700,1000,NA,NA,1.8,-0.08
"4","BAS_32","#126","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",10,0,"F",2016,-60.07,-46.06,700,1000,NA,NA,1.8,-0.08
"5","BAS_33","#127","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",6.6,0,"F",2016,-60.07,-46.06,700,1000,NA,NA,1.8,-0.08
"6","BAS_35","#128","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",6.6,0,"M",2016,-60.07,-46.06,700,1000,NA,NA,1.8,-0.08
"7","BAS_36","#130","Electrona antarctica","ELN","JR15004/82/1",NA,1,"Y",6.9,0,"M",2016,-60.32,-46.49,63,63,NA,NA,1.8,-0.08
"8","BAS_37","64","Electrona antarctica","ELN","JR177/199/2",NA,1,"Y",6.6,0,"M",2008,-58.01,-43.12,204.4,414.5,NA,NA,1.8,-0.08
"9","BAS_38","43","Electrona antarctica","ELN","JR177/205/1",NA,1,"Y",9,0,"F",2008,-58.02,-42.97,704.2,1003,NA,NA,1.8,-0.08
"10","BAS_42","#58","Electrona antarctica","ELN","JR177/199/2",NA,1,"Y",4.8,0,"M",2008,-58.01,-43.12,204.4,414.5,NA,NA,1.8,-0.08
"11","BAS_52","#114","Electrona antarctica","ELN","JR15004/91/1",NA,1,"Y",5.3,0,"M",2016,-60.23,-46.19,700,1000,NA,NA,1.8,-0.08
"12","BAS_59","57","Electrona antarctica","ELN","JR16003/39/1","RAS",1,"Y",6.1,0,"F",2016,-53.5,-39.25,19,202,NA,NA,1.9,-0.1
"13","BAS_60","6","Electrona antarctica","ELN","JR16003/113/1","RYAN",1,"Y",1.8,0,"M",2017,-55.29,-41.35,196.7,398,2.06,33.69,1.85,-0.09
"14","BAS_61","55","Electrona antarctica","ELN","JR16003/39/2","RAS",NA,"Y",6.8,5.9,"F",2016,-53.53,-39.25,15,209,NA,NA,1.9,-0.1
"15","BAS_62","8","Electrona antarctica","ELN","JR16003/129/2","RYAN",1,"Y",6.2,0,"M",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"16","BAS_65","11","Electrona antarctica","ELN","JR16003/113/1","RYAN",1,"Y",1.3,0,"M",2017,-55.29,-41.35,196.7,398,2.06,33.69,1.85,-0.09
"17","BAS_67","4","Electrona antarctica","ELN","JR16003/113/2","RYAN",1,"Y",3.3,0,"M",2017,-55.3,-41.36,27.7,210.6,0.6,33.69,1.85,-0.1
"18","BAS_69","3","Electrona antarctica","ELN","JR16003/146/2","RYAN",1,"Y",6,0,"M",2017,-53.95,-49.19,398.3,707.9,2.74,33.72,1.9,-0.1
"19","BAS_71","2","Electrona antarctica","ELN","JR16003/112/2","RYAN",1,"Y",7.7,0,"F",2016,-55.26,-41.2,NA,NA,NA,NA,1.85,-0.09
"20","BAS_72","5","Electrona antarctica","ELN","JR16003/129/2","RYAN",1,"Y",6.1,0,"F",2017,-54.66,-45.2,82,208,0,33.64,1.85,-0.1
"21","BAS_73","158","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",4.8,0,"M",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"22","BAS_74","201","Electrona carlsbergi","ELC","JR38/185/1",NA,NA,"Y",6.3,0,"M",1998,-53.34,-39.13,NA,NA,NA,NA,1.9,-0.1
"23","BAS_75","148","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",5.2,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"24","BAS_76","150","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.5,0.3,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"25","BAS_77","145","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",6,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"26","BAS_78","146","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",6.4,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"27","BAS_79","152","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.9,1.2,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"28","BAS_80","151","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.75,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"29","BAS_81","147","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",5.8,0,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"30","BAS_82","149","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.35,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"31","BAS_83","149","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.35,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"32","BAS_84","150","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.5,0.3,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"33","BAS_85","151","Electrona carlsbergi","ELC","JR177/357/1",NA,2,"Y",5.75,0.05,"U",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"34","BAS_86","155","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",5.6,0,"M",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"35","BAS_87","153","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",7.4,0,"M",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"36","BAS_88","154","Electrona carlsbergi","ELC","JR177/357/1",NA,NA,"Y",7.7,0,"M",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"37","BAS_89","157","Electrona carlsbergi","ELC","JR177/357/1",NA,1,"Y",5.8,0,"F",2008,-50.55,-34.05,3.8,206.8,NA,NA,1.95,-0.1
"38","BAS_90","103","Gymnoscopelus braueri","GYR","JR15004/66/1",NA,1,"Y",8.7,0,"M",2016,-60.03,-46.62,200,400,NA,NA,1.8,-0.08
"39","BAS_91","117","Gymnoscopelus braueri","GYR","JR15004/60/1",NA,1,"Y",8.6,0,"M",2016,-59.96,-47.18,700,1000,NA,NA,1.8,-0.08
"40","BAS_93","#113","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",15.6,0,"F",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"41","BAS_94","114","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",16.3,0,"M",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"42","BAS_95","#111","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",10.4,0,"J",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"43","BAS_96","22","Gymnoscopelus braueri","GYR","JR177/305/2",NA,2,"Y",6.4,0,"F",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"44","BAS_97","24","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",3.5,0,"J",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"45","BAS_98","#108","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",8.4,0,"F",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"46","BAS_99","25","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",5,0,"J",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"47","BAS_100","27","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",5.9,0,"J",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"48","BAS_101","28","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",9.4,0,"J",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"49","BAS_102","20","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",20.7,0,"M",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"50","BAS_103","#109","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",6.2,0,"J",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"51","BAS_104","#110","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",14.1,0,"F",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"52","BAS_105","116","Gymnoscopelus braueri","GYR","JR15004/60/1",NA,1,"Y",11.3,0,"M",2016,-59.96,-47.18,700,1000,NA,NA,1.8,-0.08
"53","BAS_106","107","Gymnoscopelus braueri","GYR","JR15004/66/1",NA,1,"Y",13.9,0,"F",2016,-60.03,-46.62,200,400,NA,NA,1.8,-0.08
"54","BAS_107","21","Gymnoscopelus braueri","GYR","JR177/305/2",NA,1,"Y",6.4,0,"F",2008,-52.86,-40.1,15.5,206,NA,NA,1.9,-0.1
"55","BAS_110","102","Gymnoscopelus braueri","GYR","JR15004/73/1",NA,1,"Y",13.9,0,"M",2016,-60.1,-46.04,200,400,NA,NA,1.8,-0.08
"56","BAS_111","101","Gymnoscopelus braueri","GYR","JR15004/73/1",NA,1,"Y",16.1,0,"F",2016,-60.1,-46.04,200,400,NA,NA,1.8,-0.08
"57","BAS_112","#112","Gymnoscopelus braueri","GYR","JR15004/96/1",NA,1,"Y",10.4,0,"J",2016,-60.31,-46.31,200,400,NA,NA,1.8,-0.08
"58","BAS_92","118","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,NA,"Y",29.5,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"59","BAS_120","119","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",30.1,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"60","BAS_121","123","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",25.1,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"61","BAS_122","126","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",38.7,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"62","BAS_123","124","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",25.3,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"63","BAS_124","122","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",21,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"64","BAS_125","125","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",32.2,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"65","BAS_126","120","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",32.2,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"66","BAS_127","121","Gymnoscopelus nicholsi","GYN","JR15004/96/2",NA,1,"Y",37.7,0,"M",2016,-60.31,-46.31,0,200,NA,NA,1.8,-0.08
"67","BAS_128","#3","Gymnoscopelus nicholsi","GYN","JR177/161/2",NA,1,"Y",35.5,0,"F",2008,-59.68,-44.03,203.3,403.6,NA,NA,1.8,-0.08
"68","BAS_220","#3","Gymnoscopelus nicholsi","GYN","JR177/161/2",NA,1,"Y",35.5,0,"F",2008,-59.68,-44.03,203.3,403.6,NA,NA,1.8,-0.08
