sciname,d13C
Electrona antarctica,-4.86
Electrona antarctica,-5.8
Electrona antarctica,-4.84
Electrona antarctica,-5.55
Electrona antarctica,-4.56
Electrona antarctica,-4.66
Electrona antarctica,-5.38
Electrona antarctica,-4.07
Electrona antarctica,-4.56
Electrona antarctica,-4.6
Electrona antarctica,-5.37
Electrona antarctica,-5.66
Electrona antarctica,-4.17
Electrona antarctica,-4.11
Electrona antarctica,-3.76
Electrona antarctica,-4.81
Electrona antarctica,-5.24
Electrona antarctica,-5.22
Electrona antarctica,-4.52
