Source,d13C
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.8
DIC,1.9
DIC,1.85
DIC,1.9
DIC,1.85
DIC,1.85
DIC,1.85
DIC,1.9
DIC,1.85
DIC,1.85
Musc,-27.68
Musc,-27.1
Musc,-26.65555603
Musc,-28.10743211
Musc,-27.33313701
Musc,-26.46764553
Musc,-26.43330347
Musc,-27.7185545
Musc,-26.90672538
Musc,-27.48305306
Musc,-27.38799205
Musc,-27.12543738
Musc,-27.20201199
Musc,-27.15607574
Musc,-27.10812562
Musc,-27.55444794
Musc,-26.43534262
Musc,-27.04466551
Musc,-27.37165135
Musc,-26.87940392
