"","MyNumber","Collections","ID","sciname","Label","Station","Notes","Muscle","Otolith","Lat_dec.x","Long_dec.x","Year.x","Min.Depth","Max.Depth","Salinity","SST","Weight.x","Weight_SD","Sex","Year.y","Lat_dec.y","Long_dec.y","Min_Depth","Max_Depth","Temp","DIC","Suess","Depth_Mid","D18O_vals","Province","Phyto","Phyto_sd","d13C","d18O","d13C_musc","d13C_musc_SD","Genus","Species","FamCode","BodyShapeI","Compressed","AspectRatio","DepthOverTL","DemersPelag","AnaCat","DepthRangeShallow","DepthRangeDeep","LongevityWild","Length","LTypeMaxM","Weight.y","Family","Order","Neritic","Oceanic","Estuaries","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","UseTroph","UseTrophSe","Schooling","Shoaling","Temperature","mean_Temp","sd_Temp","mean_M","sd_M"
"1","BAS_19","BAS","#113","Electrona antarctica","ELN","JR15004/91/1",NA,1,"Y",-60.2326,-46.1921,2016,NA,NA,NA,NA,5,0,"F",2016,-60.23,-46.19,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-4.86,4.04,-27.68,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.258936335581621,1.71226333598977,0.211486904799184,0.0107482571003222
"2","BAS_21","BAS","134","Electrona antarctica","ELN","JR15004/65/2",NA,2,"Y",-60.0345,-46.5806,2016,NA,NA,NA,NA,5,0,"M",2016,-60.03,-46.58,400,700,NA,1.8,-0.08,550,-0.121972002,"APLR",-30,0.5,-5.8,3.66,-27.1,0.32,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",1.04228830386276,1.67571487007173,0.248029786569306,0.0121954557273237
"3","BAS_31","BAS","#125","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",-60.0737,-46.0612,2016,NA,NA,NA,NA,4.4,0,"F",2016,-60.07,-46.06,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-4.84,3.71,-26.65555603,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.914700841199058,1.7090675605679,0.218251449854185,0.0113280056670159
"4","BAS_32","BAS","#126","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",-60.0737,-46.0612,2016,NA,NA,NA,NA,10,0,"F",2016,-60.07,-46.06,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-5.55,4.2,-28.10743211,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",-0.816347609173814,1.70393815371529,0.231324041544085,0.0113120624178551
"5","BAS_33","BAS","#127","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",-60.0737,-46.0612,2016,NA,NA,NA,NA,6.6,0,"F",2016,-60.07,-46.06,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-4.56,3.5,-27.33313701,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",1.61187094315294,1.69096084180618,0.203545481976164,0.0108784164831838
"6","BAS_35","BAS","#128","Electrona antarctica","ELN","JR15004/72/1",NA,1,"Y",-60.0737,-46.0612,2016,NA,NA,NA,NA,6.6,0,"M",2016,-60.07,-46.06,700,1000,NA,1.8,-0.08,850,-0.120896734,"APLR",-30,0.5,-4.66,3.73,-26.46764553,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.801262276536722,1.69620807822102,0.213450979328316,0.011217897663633
"7","BAS_36","BAS","#130","Electrona antarctica","ELN","JR15004/82/1",NA,1,"Y",-60.3158,-46.4933,2016,NA,NA,NA,NA,6.9,0,"M",2016,-60.32,-46.49,63,63,NA,1.8,-0.08,63,-0.326009512,"APLR",-30,0.5,NA,NA,-26.43330347,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",2.0335672963001,3.01708438930302,NA,NA
"8","BAS_37","BAS","64","Electrona antarctica","ELN","JR177/199/2",NA,1,"Y",-58.01,-43.05,2008,NA,NA,NA,NA,6.6,0,"M",2008,-58.01,-43.12,204.4,414.5,NA,1.8,-0.08,309.45,-0.170474783,"ANTA",-29,1,-5.38,3.6,-27.7185545,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",1.09407497928383,1.72641456011837,0.23161853904641,0.010711997564144
"9","BAS_38","BAS","43","Electrona antarctica","ELN","JR177/205/1",NA,1,"Y",-58.02,-42.97,2008,NA,NA,NA,NA,9,0,"F",2008,-58.02,-42.97,704.2,1003,NA,1.8,-0.08,853.6,-0.120874882,"ANTA",-29,1,-4.07,3.83,-26.90672538,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.426527357000406,1.71869339893712,0.192650345772185,0.00994220271300299
"10","BAS_42","BAS","#58","Electrona antarctica","ELN","JR177/199/2",NA,1,"Y",-58.01,-43.05,2008,NA,NA,NA,NA,4.8,0,"M",2008,-58.01,-43.12,204.4,414.5,NA,1.8,-0.08,309.45,-0.170474783,"ANTA",-29,1,-4.56,3.7,-27.48305306,0,"Electrona","antarctica",167,"fusiform / normal","No",1.48,21.2,"pelagic","migratory",0,1000,3,10.3,"SL",NA,"Myctophidae","Myctophiformes","No","Yes","No",3.21,0.35,3.14,0.39,3.21,0.35,"No","No","Polar",0.747217742196797,1.70461514454771,0.205562079002811,0.00996665711231394
