MyNumber,d13C,d18O
BAS_19,-4.86,4.04
BAS_21,-5.8,3.66
BAS_31,-4.84,3.71
BAS_32,-5.55,4.2
BAS_33,-4.56,3.5
BAS_35,-4.66,3.73
BAS_36,NA,NA
BAS_37,-5.38,3.6
BAS_38,-4.07,3.83
BAS_42,-4.56,3.7
BAS_52,-4.6,3.8
BAS_59,-5.37,3.69
BAS_60,-5.66,3.71
BAS_61,-4.17,4.09
BAS_62,-4.11,3.78
BAS_65,-3.76,3.81
BAS_67,-4.81,3.89
BAS_69,-5.24,4.08
BAS_71,-5.22,3.73
BAS_72,-4.52,3.64
BAS_73,-3.11,2.92
BAS_74,-3.03,3.41
BAS_75,-2.71,3.03
BAS_76,-2.73,2.94
BAS_77,-2.51,3.4
BAS_78,-3.13,2.87
BAS_79,-3.06,3.21
BAS_80,-2.54,3.03
BAS_81,-2.56,2.85
BAS_82,-2.36,2.97
BAS_83,-3.03,3.37
BAS_84,-2.98,3.02
BAS_85,-3.51,2.88
BAS_86,-2.77,3.21
BAS_87,-2.43,3.38
BAS_88,-2.73,2.87
BAS_89,-2.99,3.07
BAS_90,-5.18,3.8
BAS_91,-5.17,4.03
BAS_93,-5.04,3.98
BAS_94,-4.72,4.32
BAS_95,-4.21,4.19
BAS_96,-4.27,4.13
BAS_97,-4.53,3.6
BAS_98,-4.14,3.91
BAS_99,-4.87,3.94
BAS_100,-4.34,3.83
BAS_101,-3.81,3.9
BAS_102,-4.52,4.25
BAS_103,-5.01,3.79
BAS_104,-4.19,3.98
BAS_105,-4.25,4.09
BAS_106,-4.19,3.98
BAS_107,-4.08,3.9
BAS_110,-4.91,4.08
BAS_111,-5.19,4.36
BAS_112,-4.1,3.87
BAS_92,NA,NA
BAS_120,-2.59,3.18
BAS_121,-2.19,3.24
BAS_122,-2.5,3.02
BAS_123,-2.43,3.21
BAS_124,-2.5,2.91
BAS_125,-2.74,3.37
BAS_126,-2.4,3.18
BAS_127,-2.25,3.14
BAS_128,-2.36,3.06
BAS_220,-3.17,3.13
BAS_129,-2.59,3.42
BAS_130,-2.87,3.48
BAS_145,-3.61,3.94
BAS_146,-3.83,3.57
BAS_151,-5.07,3.44
BAS_152,-4.39,3.77
BAS_153,-4.28,3.5
BAS_155,-3.25,3.36
BAS_156,-4.49,3.72
BAS_165,-4.24,3.6
BAS_166,-4.04,3.64
BAS_167,-4.31,3.78
BAS_168,-4.2,3.14
BAS_169,-3.8,3.25
BAS_170,-4.4,3.91
BAS_172,-3.95,3.65
BAS_174,-4.15,3.78
BAS_175,-3.65,3.45
BAS_176,-4.16,3.52
BAS_177,-3.65,3.49
BAS_178,-4.46,3.84
BAS_221,-3.84,3.81
BAS_188,-3.13,3.85
BAS_189,-1.62,3.41
BAS_191,-2.27,3.49
BAS_192,-3.07,3.99
BAS_193,-3.95,3.52
BAS_194,-1.95,3.55
BAS_195,-1.76,3.48
BAS_196,-1.78,3.49
BAS_200,-2.85,3.26
BAS_201,-3.37,3.32
BAS_203,-3.43,3.71
BAS_204,-3.27,3.38
BAS_205,-3.33,3.65
BAS_212,-3.88,3.64
BAS_213,-3.72,3.52
BAS_214,-3.08,3.94
BAS_215,-3.4,3.67
BAS_217,-4.02,3.71
BAS_218,-2.97,3.83
BAS_219,-3.9,3.8
