"","a","b","sigma","WAIC"
"Number",0.221379883703758,-0.00611169231723211,0.0445595688371591,-359.108185229949
"Number.1",0.221010525202533,-0.00951305121019495,0.0424362070358667,-369.688104882328
"Number.2",0.219870105592844,-0.00643029071282803,0.0441287055869994,-361.593655826194
"Number.3",0.220260657187166,-0.00493317381557043,0.0450140459832149,-356.873027718339
"Number.4",0.214926312830474,-0.0042693876712177,0.0430437270115812,-367.131540726177
"Number.5",0.219379221924092,-0.00428186677316927,0.044023634054803,-361.935217255049
"Number.6",0.217482506377478,-0.00516526479861934,0.0408801193233812,-378.038060553277
"Number.7",0.220818469912158,-0.00650119267487627,0.0399834847908398,-383.307010411006
"Number.8",0.21769005950456,-0.00445854720711686,0.0430568080362828,-366.3921231138
"Number.9",0.222294016203687,-0.00642643174195438,0.0406356526361524,-377.914833590288
"Number.10",0.220884016471577,-0.00694579485622037,0.0432264533995614,-365.894022465681
"Number.11",0.216699471144297,-0.00679299177194762,0.0404063229004226,-380.359799777225
"Number.12",0.217411644355014,-0.0077832202506322,0.0418461804546943,-372.56665786218
"Number.13",0.217397330553636,-0.00356328635406099,0.0459011138580059,-353.354241568253
"Number.14",0.222677428285842,-0.00823291667506961,0.0489318505144799,-339.632617040236
"Number.15",0.218142183805105,-0.00548129021795747,0.0424960635661802,-369.809211932311
"Number.16",0.219833020554242,-0.00586422081039984,0.040520313205142,-380.231041512604
"Number.17",0.218841300154438,-0.00805386418616337,0.0358917682399044,-406.212191236739
"Number.18",0.216427956838533,-0.00693531766170075,0.0387513435568933,-389.596974670122
"Number.19",0.218985837218894,-0.00524491931996717,0.0427015671152656,-368.500804127295
"Number.20",0.221639561143987,-0.00890636775886002,0.0412391854865066,-375.898928263686
"Number.21",0.223577543953134,-0.00766390447677273,0.0457897697938081,-352.488895647907
"Number.22",0.220862353262928,-0.0065535575594209,0.0431643166950122,-366.377340461902
"Number.23",0.221284458747495,-0.00666062547430461,0.0436379638299212,-364.072283253546
"Number.24",0.219279212908458,-0.00754702749312124,0.039842735244917,-383.2409691001
"Number.25",0.218654108284842,-0.00643553672759832,0.0448497618012737,-356.557153160144
"Number.26",0.220017933563599,-0.00798140269534134,0.0389071229136747,-388.784560502292
"Number.27",0.225045259759767,-0.00595857791750762,0.0457943849449877,-353.873629992897
"Number.28",0.219873592901712,-0.0041495050918019,0.0407976975031756,-378.520263259013
"Number.29",0.221256046302128,-0.00833568763819277,0.0429318475735486,-367.61802902134
"Number.30",0.217675416334124,-0.00808291205275367,0.0414588191684001,-375.265746098019
"Number.31",0.221421588970482,-0.00720404931840259,0.0412035914780792,-375.973466179862
"Number.32",0.218877378150145,-0.00334013223691966,0.0443671174233723,-360.649610680104
"Number.33",0.220552174704559,-0.00699474684754245,0.0416534776421075,-374.33994132325
"Number.34",0.223178787993172,-0.00863004265884615,0.0399409998000046,-382.429604707479
"Number.35",0.222637070215374,-0.00583721158934293,0.0423202752719381,-370.64515150164
"Number.36",0.227324338153679,-0.00558803154392312,0.0436758746019513,-363.532824017002
"Number.37",0.224807034358389,-0.00755859531622731,0.0429811910712121,-366.239829779153
"Number.38",0.221993583852731,-0.00652953970521688,0.0435667395021249,-364.278131861171
"Number.39",0.217945579160629,-0.00529281444161668,0.0427758088427859,-368.073842816961
"Number.40",0.223202808675423,-0.00592205677911232,0.0488745723076263,-338.320494603454
"Number.41",0.220888501757573,-0.00473703336128048,0.0439585124262577,-361.534412054719
"Number.42",0.221760393630734,-0.00491703841848602,0.0421345312359141,-371.424725118079
"Number.43",0.218390891814855,-0.00467045040504405,0.045000497455222,-356.564229498234
"Number.44",0.221512571911656,-0.00805142352098493,0.0452583080956944,-355.958720728496
"Number.45",0.218570230983677,-0.00624711924268513,0.0482528654644983,-341.991566953633
"Number.46",0.216819792557074,-0.00575003356262281,0.0421621067393156,-370.842864414818
"Number.47",0.216885926514188,-0.00658955714283026,0.0402092406033471,-382.103905117444
"Number.48",0.223727988591263,-0.00661381120917878,0.0451118760287249,-356.237183629341
"Number.49",0.219537343826055,-0.00510280887757916,0.042704601526959,-368.206439853067
"Number.50",0.223225872964939,-0.00943018719822763,0.0422222905291192,-371.284386571098
"Number.51",0.220531496509583,-0.00624493443561211,0.0445371836460326,-359.629636685828
"Number.52",0.227021476787855,-0.00899996368569893,0.0427176180272555,-368.169500937578
"Number.53",0.221649624169735,-0.00496014620218283,0.0432015791999648,-365.66486925059
"Number.54",0.215504199992817,-0.0050825716167528,0.0441448931124132,-361.409609562252
"Number.55",0.221796249888256,-0.00853135006370166,0.0387537439928479,-389.178840301196
"Number.56",0.221551816217963,-0.00682760051446265,0.0442042967752092,-361.691749183275
"Number.57",0.220451194102792,-0.00511537509646772,0.0482961680363556,-342.029863042788
"Number.58",0.218743889311341,-0.00910395870512897,0.039844601217519,-383.557315880334
"Number.59",0.222386793005265,-0.00467279340323894,0.0433492999650358,-365.566442157915
"Number.60",0.226424432755771,-0.00869204233537683,0.0421747487118454,-370.831801357328
"Number.61",0.225078884378143,-0.0063490680049215,0.0412469123503179,-376.205963096108
"Number.62",0.223221444884413,-0.00402443751085149,0.0471702172716598,-346.803202628757
"Number.63",0.222255743234316,-0.0073263056784421,0.045752081106568,-354.26645971478
"Number.64",0.221384848556388,-0.00689226535241473,0.0435458391774471,-363.968523244248
"Number.65",0.221259971459588,-0.00769377073568666,0.0418700139157937,-372.797225495094
"Number.66",0.216620944578869,-0.0089666403578424,0.0452820219952315,-355.429608142389
"Number.67",0.222200156693354,-0.00693528768726126,0.0453745090868531,-355.705021084407
"Number.68",0.220640090331335,-0.00670154491852373,0.0386477809162614,-390.537223310717
"Number.69",0.22025881244574,-0.00808189765686422,0.0417346087948006,-373.759773740967
"Number.70",0.216939139125961,-0.00670673711629826,0.0421629394172686,-371.230693699322
"Number.71",0.21881519471292,-0.00569971810431255,0.0430210569521851,-366.985916574736
"Number.72",0.218924661178709,-0.00671769605157267,0.0434771433440399,-363.628514349626
"Number.73",0.221778456745184,-0.00691815866163086,0.0423215739027024,-370.417023029581
"Number.74",0.226595066582045,-0.00883494610201519,0.0473693388859818,-346.421946730532
"Number.75",0.220660003299269,-0.00909398964194096,0.0469330961847149,-347.131815419438
"Number.76",0.220131648023721,-0.00766368251534486,0.0442074549839238,-360.66254191594
"Number.77",0.224258568625769,-0.0101816898088261,0.0407771304487968,-378.473826178743
"Number.78",0.221737157453325,-0.00844832663295023,0.0432633962092399,-365.888093060854
"Number.79",0.221808531225303,-0.00902263260647805,0.0432410516507423,-365.570527759632
"Number.80",0.221026963480644,-0.00639386322480986,0.0418202865960365,-373.278720573182
"Number.81",0.220089447708107,-0.00821889479040668,0.0432880739151865,-364.476417955784
"Number.82",0.220994694482866,-0.00710298051704943,0.0420387658005669,-371.665133557256
"Number.83",0.220293027544916,-0.00598726199518634,0.0438073340480107,-363.082409831423
"Number.84",0.219770699902839,-0.00832989665868507,0.0423529109385755,-370.339038899424
"Number.85",0.219681982430163,-0.0089239360628396,0.037711580036571,-395.236573337836
"Number.86",0.220956987303156,-0.0103796424149116,0.0368146169666346,-400.348769929085
"Number.87",0.219945794053554,-0.00712085183031726,0.0435733007846103,-364.214960071722
"Number.88",0.224980527494573,-0.00632473928384902,0.0402869759138773,-381.554206367291
"Number.89",0.217797131121023,-0.00441580756962702,0.0460187182444514,-351.265358124874
"Number.90",0.218044346406208,-0.00492228768735163,0.0425996101306398,-368.20261875507
"Number.91",0.221001377440183,-0.00460261042276256,0.0478092217463385,-344.153119753549
"Number.92",0.218461684108444,-0.005455654411755,0.0450073536629229,-357.506076691356
"Number.93",0.21928661179794,-0.00647863120669853,0.0454605372521261,-354.523530496184
"Number.94",0.219958090238762,-0.00577878490512307,0.0469454167153522,-347.870070677981
"Number.95",0.220103245764801,-0.00487911914945821,0.0475496190878576,-344.688179450456
"Number.96",0.221441949747908,-0.00795234446067886,0.0439622710128903,-362.143586312378
"Number.97",0.221055538556447,-0.00637526000137385,0.0402892143198766,-381.018238958944
"Number.98",0.22030138822698,-0.00662034397552801,0.039043733275547,-387.688819971748
"Number.99",0.218479309300543,-0.00483275751279568,0.0409991360914467,-377.062503159365
"Number.100",0.219335214707474,-0.00793852890501451,0.0420341756345196,-371.932345190398
"Number.101",0.216613410220271,-0.00912726736884382,0.0414150481996597,-375.181188522485
"Number.102",0.215932049657342,-0.00774480238105238,0.0404149260591457,-380.456940722157
"Number.103",0.221857604526899,-0.00761846709376131,0.0395699448546086,-385.356706657562
"Number.104",0.22439227648862,-0.00760157633110847,0.0429172904153581,-367.477982632695
"Number.105",0.217974898232237,-0.00622575538231027,0.0402564026654807,-381.044762478702
"Number.106",0.225156669826078,-0.00554230341907802,0.0476746327813798,-344.852340867686
"Number.107",0.22130710891974,-0.0076354894613669,0.0450056268039832,-357.204212114193
"Number.108",0.218305111158026,-0.00587825679486067,0.04209589638509,-371.267941438905
"Number.109",0.225686088955416,-0.00868148404087831,0.0435665245422699,-364.36839872598
"Number.110",0.224620020803038,-0.00837640202815398,0.0426259550558987,-368.411574956673
"Number.111",0.217949157951226,-0.00424727597202928,0.044799183891012,-358.224399788597
"Number.112",0.222080507305196,-0.00669330683136289,0.0471316806084715,-347.144923973134
"Number.113",0.225975374509466,-0.00877531845677944,0.0448004749959684,-358.928994238377
"Number.114",0.222352360645752,-0.00384601125685937,0.0433067339952427,-365.458855528939
"Number.115",0.217658179390771,-0.00554434680152659,0.0432555568954944,-365.766678152304
"Number.116",0.2230301535457,-0.00666242415676012,0.0427679397942187,-368.471487833739
"Number.117",0.221332105275777,-0.00664925971120481,0.0454071388974925,-355.32075620741
"Number.118",0.220608459632016,-0.00976963798321772,0.0447679317461693,-358.172979176042
"Number.119",0.223434399060667,-0.0100581855386172,0.0466108574222347,-349.690922948706
"Number.120",0.219185603593573,-0.00795972160265151,0.0436061223775034,-364.720138787341
"Number.121",0.222178668247388,-0.00524812356473002,0.0438355245160772,-362.797245950413
"Number.122",0.220699634599034,-0.00759166503410064,0.0441693365139751,-361.704116361442
"Number.123",0.221665158759897,-0.00827537318179321,0.0362922795790909,-403.816489510938
"Number.124",0.219620438412916,-0.00877515637683794,0.0445281847406974,-358.750910638728
"Number.125",0.218082358990559,-0.00985490373465193,0.044104530568549,-361.635883345348
"Number.126",0.218731281014665,-0.00844773272687458,0.0449769226449511,-357.141284587741
"Number.127",0.217425521836973,-0.00687345212601259,0.044066922034741,-361.93563196406
"Number.128",0.220548951632115,-0.00638695172890956,0.0442155394567339,-361.377563408771
"Number.129",0.218997014411853,-0.0058776282817467,0.0416379628440413,-373.576556533885
"Number.130",0.220478612186147,-0.0101260648860787,0.0399753920251266,-382.234110454698
"Number.131",0.217479401930303,-0.00596577392541279,0.0413639074681718,-375.35540741238
"Number.132",0.219684543975111,-0.00715189358484831,0.0442939848734758,-360.165221378932
"Number.133",0.215890620717761,-0.00674615813051841,0.0413382982595959,-375.56339950338
"Number.134",0.216194918506498,-0.00686609783251072,0.0408669988852287,-378.488829452703
"Number.135",0.223746042520769,-0.00709818286359898,0.0427926865567247,-368.617368330069
"Number.136",0.216705061347174,-0.00633892795239843,0.0366634276698905,-400.995455080983
"Number.137",0.221156814847334,-0.00629136890233959,0.044132514612251,-360.928681885427
"Number.138",0.214868715064854,-0.005360342848325,0.0406569433143826,-379.47701913566
"Number.139",0.226358702677045,-0.00950852085017947,0.0423117857931842,-370.595095990359
"Number.140",0.21777114986612,-0.00553652827927407,0.0406712174993078,-379.255176648877
"Number.141",0.219980568161165,-0.00954400989002856,0.0386009887231687,-390.571197435619
"Number.142",0.215608426671146,-0.00457912004197322,0.0437571466941586,-361.855777455907
"Number.143",0.220448032548541,-0.00717353920405664,0.0412265535961653,-375.868555299341
"Number.144",0.219106102596877,-0.00583936412272102,0.0460571724260664,-352.357470857795
"Number.145",0.221845623979848,-0.00430956078090928,0.0413475639478567,-375.80031987624
"Number.146",0.218953198249326,-0.00519840746904928,0.0384389463702089,-391.246655932202
"Number.147",0.219569999178485,-0.00776368536454238,0.0436282021271857,-363.834029975655
"Number.148",0.223606743398581,-0.00543204610125709,0.0433229994311136,-365.738295076513
"Number.149",0.224772695836664,-0.00929910853402127,0.0398978494247333,-383.583174633747
"Number.150",0.225742081676562,-0.00718685344940646,0.0369254541377719,-399.700949555319
"Number.151",0.222056495507248,-0.00465163840127997,0.046548319606028,-349.631799892471
"Number.152",0.216527769053506,-0.00599535027970433,0.038572192473571,-390.765032830707
"Number.153",0.219476322263705,-0.00667890043945676,0.0433321118363477,-365.258384930146
"Number.154",0.221550168775972,-0.00649673069972745,0.0433793483930743,-365.004757323341
"Number.155",0.217449151724294,-0.0058490518988557,0.0456988932442568,-354.448049176961
"Number.156",0.224177605051971,-0.00786743533307828,0.0440670067890708,-362.095283718207
"Number.157",0.222005788189579,-0.00572232288895745,0.044571961778252,-359.156819443059
"Number.158",0.224094412124991,-0.00629456869258433,0.0448898301675983,-357.25720358027
"Number.159",0.219266964334451,-0.00689016757579418,0.0433097435269604,-365.851203801482
"Number.160",0.221745534323372,-0.00516125244221809,0.0448913706593748,-357.875344684838
