"","Comp","Z","p_value"
"1.1","Electrona antarctica - Electrona carlsbergi","2.16525254724462","0.455525252868199"
"2.1","Electrona antarctica - Gymnoscopelus braueri","-0.403364552508154","1"
"3.1","Electrona carlsbergi - Gymnoscopelus braueri","-2.58299729095182","0.14691913811515"
"4.1","Electrona antarctica - Gymnoscopelus nicholsi","4.53593706929297","8.60224197154308e-05"
"5.1","Electrona carlsbergi - Gymnoscopelus nicholsi","2.51881914581902","0.176623679606237"
"6.1","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.93437136088774","1.20613980762915e-05"
"7.1","Electrona antarctica - Krefftichthys anderssoni","-1.78366860962806","1"
"8.1","Electrona carlsbergi - Krefftichthys anderssoni","-3.92345731333358","0.0013093085555337"
"9.1","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.39834801324884","1"
"10.1","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.14537626369274","1.19661271569698e-08"
"11.1","Electrona antarctica - Protomyctophum bolini","2.27751480752979","0.341332521049537"
"12.1","Electrona carlsbergi - Protomyctophum bolini","0.0204954601001246","1"
"13.1","Gymnoscopelus braueri - Protomyctophum bolini","2.7159250221223","0.099136325614613"
"14.1","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.58231129695602","0.147211524520598"
"15.1","Krefftichthys anderssoni - Protomyctophum bolini","4.11427303537114","0.000582602243476096"
"1.2","Electrona antarctica - Electrona carlsbergi","2.55489733764171","0.159328681714071"
"2.2","Electrona antarctica - Gymnoscopelus braueri","0.684775582964104","1"
"3.2","Electrona carlsbergi - Gymnoscopelus braueri","-1.92059540688251","0.821741020215675"
"4.2","Electrona antarctica - Gymnoscopelus nicholsi","4.8059514075605","2.31025960239703e-05"
"5.2","Electrona carlsbergi - Gymnoscopelus nicholsi","2.43787489179221","0.221608292212836"
"6.2","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.25236137952464","0.000317292228312565"
"7.2","Electrona antarctica - Krefftichthys anderssoni","-1.13901966940372","1"
"8.2","Electrona carlsbergi - Krefftichthys anderssoni","-3.69174475053495","0.00334081391523894"
"9.2","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.84763672508692","0.969823697701947"
"10.2","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.852461720415","7.26524622251301e-08"
"11.2","Electrona antarctica - Protomyctophum bolini","3.4404006500663","0.00871280465799511"
"12.2","Electrona carlsbergi - Protomyctophum bolini","0.755485432024038","1"
"13.2","Gymnoscopelus braueri - Protomyctophum bolini","2.79164783872422","0.0786605933105265"
"14.2","Gymnoscopelus nicholsi - Protomyctophum bolini","-1.83472343276954","0.99820017691257"
"15.2","Krefftichthys anderssoni - Protomyctophum bolini","4.63928456381114","5.24426066707231e-05"
"1.3","Electrona antarctica - Electrona carlsbergi","2.36481226512276","0.270588189810229"
"2.3","Electrona antarctica - Gymnoscopelus braueri","-0.491748072791151","1"
"3.3","Electrona carlsbergi - Gymnoscopelus braueri","-2.87078770985773","0.0614175600188238"
"4.3","Electrona antarctica - Gymnoscopelus nicholsi","4.50821407816283","9.80633918936064e-05"
"5.3","Electrona carlsbergi - Gymnoscopelus nicholsi","2.31500566516689","0.309189330535232"
"6.3","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.98391909457652","9.34637121616213e-06"
"7.3","Electrona antarctica - Krefftichthys anderssoni","-0.830595278149107","1"
"8.3","Electrona carlsbergi - Krefftichthys anderssoni","-3.19985370813196","0.0206246037684028"
"9.3","Gymnoscopelus braueri - Krefftichthys anderssoni","-0.343276768595384","1"
"10.3","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.28120549670915","1.92504968380917e-06"
"11.3","Electrona antarctica - Protomyctophum bolini","2.47316497409096","0.200883457882733"
"12.3","Electrona carlsbergi - Protomyctophum bolini","0.00853977504171839","1"
"13.3","Gymnoscopelus braueri - Protomyctophum bolini","3.00367172520961","0.0400114449772213"
"14.3","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.38266307591597","0.257818759635963"
"15.3","Krefftichthys anderssoni - Protomyctophum bolini","3.34694849380499","0.0122559585197501"
"1.4","Electrona antarctica - Electrona carlsbergi","2.31477429431949","0.309379311308225"
"2.4","Electrona antarctica - Gymnoscopelus braueri","-0.0734343788701458","1"
"3.4","Electrona carlsbergi - Gymnoscopelus braueri","-2.41390974512579","0.236735568983531"
"4.4","Electrona antarctica - Gymnoscopelus nicholsi","4.87165109886891","1.66004216397903e-05"
"5.4","Electrona carlsbergi - Gymnoscopelus nicholsi","2.71474575043777","0.0994900041463604"
"6.4","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.98391909457652","9.34637121616213e-06"
"7.4","Electrona antarctica - Krefftichthys anderssoni","-0.950450675090736","1"
"8.4","Electrona carlsbergi - Krefftichthys anderssoni","-3.26560997595319","0.0163842872134134"
"9.4","Gymnoscopelus braueri - Krefftichthys anderssoni","-0.888481048129228","1"
"10.4","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.75336625303745","1.31225499609816e-07"
"11.4","Electrona antarctica - Protomyctophum bolini","3.55422393731502","0.00568644406613553"
"12.4","Electrona carlsbergi - Protomyctophum bolini","1.10903211875119","1"
"13.4","Gymnoscopelus braueri - Protomyctophum bolini","3.67508069907999","0.00356661369449141"
"14.4","Gymnoscopelus nicholsi - Protomyctophum bolini","-1.80120584821537","1"
"15.4","Krefftichthys anderssoni - Protomyctophum bolini","4.56356174720922","7.54395133777176e-05"
"1.5","Electrona antarctica - Electrona carlsbergi","2.65260461790846","0.119810056980419"
"2.5","Electrona antarctica - Gymnoscopelus braueri","0.0933665674206141","1"
"3.5","Electrona carlsbergi - Gymnoscopelus braueri","-2.59381433933799","0.142376591656636"
"4.5","Electrona antarctica - Gymnoscopelus nicholsi","4.92709708112919","1.2519043926002e-05"
"5.5","Electrona carlsbergi - Gymnoscopelus nicholsi","2.46983749466433","0.202761663980131"
"6.5","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.89356734490875","1.48536610841439e-05"
"7.5","Electrona antarctica - Krefftichthys anderssoni","-1.34175100821308","1"
"8.5","Electrona carlsbergi - Krefftichthys anderssoni","-3.98750562614647","0.00100157432164293"
"9.5","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.45387807875692","1"
"10.5","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.15266269511756","1.14289114270953e-08"
"11.5","Electrona antarctica - Protomyctophum bolini","3.15794055705506","0.0238331929556527"
"12.5","Electrona carlsbergi - Protomyctophum bolini","0.382297262700936","1"
"13.5","Gymnoscopelus braueri - Protomyctophum bolini","3.10463548067884","0.028577048259451"
"14.5","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.20487414915037","0.41194390473133"
"15.5","Krefftichthys anderssoni - Protomyctophum bolini","4.55851355943576","7.72754086322674e-05"
"1.6","Electrona antarctica - Electrona carlsbergi","2.99339576817217","0.0413837592859997"
"2.6","Electrona antarctica - Gymnoscopelus braueri","1.16577076456355","1"
"3.6","Electrona carlsbergi - Gymnoscopelus braueri","-1.89725335510181","0.866917620286637"
"4.6","Electrona antarctica - Gymnoscopelus nicholsi","5.35661356014546","1.2719431910235e-06"
"5.6","Electrona carlsbergi - Gymnoscopelus nicholsi","2.58814063516506","0.144743362563192"
"6.6","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.38643171774132","0.000172837971421649"
"7.6","Electrona antarctica - Krefftichthys anderssoni","-0.628126204978563","1"
"8.6","Electrona carlsbergi - Krefftichthys anderssoni","-3.63936746361241","0.004099628408493"
"9.6","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.81734759844615","1"
"10.6","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.96030090550233","3.77660827374127e-08"
"11.6","Electrona antarctica - Protomyctophum bolini","4.11573467003281","0.000578922133514672"
"12.6","Electrona carlsbergi - Protomyctophum bolini","0.967556512226717","1"
"13.6","Gymnoscopelus braueri - Protomyctophum bolini","2.98852716188922","0.0420488373640292"
"14.6","Gymnoscopelus nicholsi - Protomyctophum bolini","-1.79829127564544","1"
"15.6","Krefftichthys anderssoni - Protomyctophum bolini","4.80587476033537","2.31114496513675e-05"
"1.7","Electrona antarctica - Electrona carlsbergi","2.67954814064868","0.110582402628043"
"2.7","Electrona antarctica - Gymnoscopelus braueri","0.343043455579106","1"
"3.7","Electrona carlsbergi - Gymnoscopelus braueri","-2.37861200828669","0.260669346656388"
"4.7","Electrona antarctica - Gymnoscopelus nicholsi","4.50327710713966","0.000100370313612688"
"5.7","Electrona carlsbergi - Gymnoscopelus nicholsi","2.03149322670374","0.633074789130113"
"6.7","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.24653223438479","0.000325656836997667"
"7.7","Electrona antarctica - Krefftichthys anderssoni","-1.2116672513574","1"
"8.7","Electrona carlsbergi - Krefftichthys anderssoni","-3.88844423566253","0.0015133326516739"
"9.7","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.57503458531999","1"
"10.7","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.61055219711099","3.02523041198853e-07"
"11.7","Electrona antarctica - Protomyctophum bolini","3.10365156981892","0.0286722445510793"
"12.7","Electrona carlsbergi - Protomyctophum bolini","0.302308036476838","1"
"13.7","Gymnoscopelus braueri - Protomyctophum bolini","2.79669602649768","0.0774421220541411"
"14.7","Gymnoscopelus nicholsi - Protomyctophum bolini","-1.8245224287748","1"
"15.7","Krefftichthys anderssoni - Protomyctophum bolini","4.37173061181768","0.000184898338158695"
"1.8","Electrona antarctica - Electrona carlsbergi","3.25157985421037","0.0172148297746392"
"2.8","Electrona antarctica - Gymnoscopelus braueri","0.832168871982037","1"
"3.8","Electrona carlsbergi - Gymnoscopelus braueri","-2.4825126046276","0.195689178401531"
"4.8","Electrona antarctica - Gymnoscopelus nicholsi","5.07976341584585","5.66857790123021e-06"
"5.8","Electrona carlsbergi - Gymnoscopelus nicholsi","2.08877685263041","0.550917225114097"
"6.8","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.399547294306","0.000162715402783803"
"7.8","Electrona antarctica - Krefftichthys anderssoni","-1.36037186856944","1"
"8.8","Electrona carlsbergi - Krefftichthys anderssoni","-4.6117631816961","5.98901585717999e-05"
"9.8","Gymnoscopelus braueri - Krefftichthys anderssoni","-2.22120262032307","0.395058612153981"
"10.8","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.32316519045834","3.84388639936572e-09"
"11.8","Electrona antarctica - Protomyctophum bolini","4.09606474712117","0.000630348667714701"
"12.8","Electrona carlsbergi - Protomyctophum bolini","0.68716723169029","1"
"13.8","Gymnoscopelus braueri - Protomyctophum bolini","3.3065629916173","0.0141672168309237"
"14.8","Gymnoscopelus nicholsi - Protomyctophum bolini","-1.53597974435194","1"
"15.8","Krefftichthys anderssoni - Protomyctophum bolini","5.52776561194037","4.86502447538265e-07"
"1.9","Electrona antarctica - Electrona carlsbergi","2.9670444107669","0.0451016287114978"
"2.9","Electrona antarctica - Gymnoscopelus braueri","1.49884812586743","1"
"3.9","Electrona carlsbergi - Gymnoscopelus braueri","-1.54712257839135","1"
"4.9","Electrona antarctica - Gymnoscopelus nicholsi","5.65321158853778","2.36215876452795e-07"
"5.9","Electrona carlsbergi - Gymnoscopelus nicholsi","2.90154018280734","0.05569997280005"
"6.9","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.39371814916614","0.00016714239675824"
"7.9","Electrona antarctica - Krefftichthys anderssoni","0.163391492986072","1"
"8.9","Electrona carlsbergi - Krefftichthys anderssoni","-2.84402974806035","0.0668203329162283"
"9.9","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.35291432328769","1"
"10.9","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.56537632227711","3.92380891010807e-07"
"11.9","Electrona antarctica - Protomyctophum bolini","3.26284681258384","0.0165448684346302"
"12.9","Electrona carlsbergi - Protomyctophum bolini","0.165956294977398","1"
"13.9","Gymnoscopelus braueri - Protomyctophum bolini","1.78705847180538","1"
"14.9","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.84608011453448","0.0663915867168036"
"15.9","Krefftichthys anderssoni - Protomyctophum bolini","3.13997279509307","0.0253445286927855"
"1.10","Electrona antarctica - Electrona carlsbergi","1.56834988961504","1"
"2.10","Electrona antarctica - Gymnoscopelus braueri","-0.393136192594098","1"
"3.10","Electrona carlsbergi - Gymnoscopelus braueri","-1.96898746545225","0.734317957286781"
"4.10","Electrona antarctica - Gymnoscopelus nicholsi","4.64151229578857","5.18802654183998e-05"
"5.10","Electrona carlsbergi - Gymnoscopelus nicholsi","3.15059942596677","0.0244403682658975"
"6.10","Gymnoscopelus braueri - Gymnoscopelus nicholsi","5.03200954198033","7.28047651473569e-06"
"7.10","Electrona antarctica - Krefftichthys anderssoni","-1.51432179855792","1"
"8.10","Electrona carlsbergi - Krefftichthys anderssoni","-3.05780878327137","0.0334442698698965"
"9.10","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.13584224902884","1"
"10.10","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.01567778433095","2.68703367101542e-08"
"11.10","Electrona antarctica - Protomyctophum bolini","1.94391291494827","0.778589303554375"
"12.10","Electrona carlsbergi - Protomyctophum bolini","0.300600081468494","1"
"13.10","Gymnoscopelus braueri - Protomyctophum bolini","2.36760006575345","0.268558166025545"
"14.10","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.98160773903613","0.0430108700527447"
"15.10","Krefftichthys anderssoni - Protomyctophum bolini","3.5034423147823","0.00688929181370382"
"1.11","Electrona antarctica - Electrona carlsbergi","3.18407300602607","0.0217827573077684"
"2.11","Electrona antarctica - Gymnoscopelus braueri","0.707592693541612","1"
"3.11","Electrona carlsbergi - Gymnoscopelus braueri","-2.53517455071819","0.168586961878934"
"4.11","Electrona antarctica - Gymnoscopelus nicholsi","5.45497321360719","7.34703426498246e-07"
"5.11","Electrona carlsbergi - Gymnoscopelus nicholsi","2.51549835591023","0.178296347496409"
"6.11","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.8877381997689","1.53001568612335e-05"
"7.11","Electrona antarctica - Krefftichthys anderssoni","-0.792304494881102","1"
"8.11","Electrona carlsbergi - Krefftichthys anderssoni","-3.99177551366733","0.000983706578892923"
"9.11","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.51950451981192","1"
"10.11","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-6.2036677150913","8.27432909349934e-09"
"11.11","Electrona antarctica - Protomyctophum bolini","2.91508257550594","0.0533391663756409"
"12.11","Electrona carlsbergi - Protomyctophum bolini","-0.391406356078769","1"
"13.11","Gymnoscopelus braueri - Protomyctophum bolini","2.23634718364345","0.379935569386356"
"14.11","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.95100472705188","0.0475113104249118"
"15.11","Krefftichthys anderssoni - Protomyctophum bolini","3.75585170345537","0.00259129454929964"
"1.12","Electrona antarctica - Electrona carlsbergi","1.72734628204911","1"
"2.12","Electrona antarctica - Gymnoscopelus braueri","0.774732697080031","1"
"3.12","Electrona carlsbergi - Gymnoscopelus braueri","-0.995737769864388","1"
"4.12","Electrona antarctica - Gymnoscopelus nicholsi","5.25787413968195","2.18595296131827e-06"
"5.12","Electrona carlsbergi - Gymnoscopelus nicholsi","3.61260432202751","0.00454705630972797"
"6.12","Gymnoscopelus braueri - Gymnoscopelus nicholsi","4.62979852733029","5.49032531541587e-05"
"7.12","Electrona antarctica - Krefftichthys anderssoni","-0.535808700113237","1"
"8.12","Electrona carlsbergi - Krefftichthys anderssoni","-2.26844891024852","0.349527893615118"
"9.12","Gymnoscopelus braueri - Krefftichthys anderssoni","-1.32767338442038","1"
"10.12","Gymnoscopelus nicholsi - Krefftichthys anderssoni","-5.7795974061668","1.12319387200125e-07"
"11.12","Electrona antarctica - Protomyctophum bolini","3.19649360596189","0.0208663364465045"
"12.12","Electrona carlsbergi - Protomyctophum bolini","1.35611627662491","1"
"13.12","Gymnoscopelus braueri - Protomyctophum bolini","2.4534192579023","0.212257954566821"
"14.12","Gymnoscopelus nicholsi - Protomyctophum bolini","-2.50507512385293","0.183638081155772"
"15.12","Krefftichthys anderssoni - Protomyctophum bolini","3.78109264232268","0.00234212327430149"
"1.13","Electrona antarctica - Electrona carlsbergi","2.86015856780843","0.063514384644135"
"2.13","Electrona antarctica - Gymnoscopelus braueri","0.0338322674080303","1"
"3.13","Electrona carlsbergi - Gymnoscopelus braueri","-2.8616786164799","0.0632105967993557"
"4.13","Electrona antarctica - Gymnoscopelus nicholsi","5.0543190267264","6.47893644928649e-06"
"5.13","Electrona carlsbergi - Gymnoscopelus nicholsi","2.41047837504467","0.238974236304244"
"6.13","Gymnoscopelus braueri - Gymnoscopelus nicholsi","5.07427084424428","5.83477021627399e-06"
