"","chi","df","p_value"
"Kruskal-Wallis chi-squared.1",45.1389477997326,5,1.35950200997756e-08
"Kruskal-Wallis chi-squared.2",52.8703987738128,5,3.57584428191752e-10
"Kruskal-Wallis chi-squared.3",43.5984635841568,5,2.79426101465892e-08
"Kruskal-Wallis chi-squared.4",53.3001744181765,5,2.9183225274357e-10
"Kruskal-Wallis chi-squared.5",39.285092979195,5,2.08082459875164e-07
"Kruskal-Wallis chi-squared.6",49.7024840914423,5,1.59429729688107e-09
"Kruskal-Wallis chi-squared.7",41.4171830307315,5,7.72724642949971e-08
"Kruskal-Wallis chi-squared.8",46.864827438567,5,6.05361278238395e-09
"Kruskal-Wallis chi-squared.9",52.6684002760394,5,3.93405984814048e-10
"Kruskal-Wallis chi-squared.10",48.8988607063621,5,2.32742931812905e-09
"Kruskal-Wallis chi-squared.11",56.4247463940778,5,6.64392624924272e-11
"Kruskal-Wallis chi-squared.12",57.6948478259268,5,3.63603367585469e-11
"Kruskal-Wallis chi-squared.13",44.8052875112168,5,1.58931478985005e-08
"Kruskal-Wallis chi-squared.14",61.6444221950812,5,5.5552335742293e-12
"Kruskal-Wallis chi-squared.15",56.7656670758867,5,5.65174940544468e-11
"Kruskal-Wallis chi-squared.16",47.50482779624,5,4.48239608011521e-09
"Kruskal-Wallis chi-squared.17",57.0079878370148,5,5.03782171711715e-11
"Kruskal-Wallis chi-squared.18",47.0451238127098,5,5.56238458783414e-09
"Kruskal-Wallis chi-squared.19",34.5711943857966,5,1.83217396043785e-06
"Kruskal-Wallis chi-squared.20",44.6871347133198,5,1.67966012124483e-08
"Kruskal-Wallis chi-squared.21",55.4054290550385,5,1.077228097629e-10
"Kruskal-Wallis chi-squared.22",49.9863200079109,5,1.39475850275976e-09
"Kruskal-Wallis chi-squared.23",61.2823193830351,5,6.60110785523558e-12
"Kruskal-Wallis chi-squared.24",47.4414594530339,5,4.61781735157857e-09
"Kruskal-Wallis chi-squared.25",37.5172540393378,5,4.71673207500512e-07
"Kruskal-Wallis chi-squared.26",48.1451107155669,5,3.31771827046654e-09
"Kruskal-Wallis chi-squared.27",44.5966200429418,5,1.75231973665184e-08
"Kruskal-Wallis chi-squared.28",37.0740768618194,5,5.78812831118118e-07
"Kruskal-Wallis chi-squared.29",51.5922887809558,5,6.53993150205284e-10
"Kruskal-Wallis chi-squared.30",55.9387876358763,5,8.36587593547854e-11
"Kruskal-Wallis chi-squared.31",44.7393617010085,5,1.63911016970476e-08
"Kruskal-Wallis chi-squared.32",39.9972674310349,5,1.49526388442358e-07
"Kruskal-Wallis chi-squared.33",48.8757815417599,5,2.3528424665489e-09
