"chi","df","p_value"
59.72354035235,5,1.38631603730406e-11
54.7166378424324,5,1.49285559486713e-10
42.8484493824355,5,3.96585349000773e-08
45.8867086616824,5,9.57743908699340e-09
51.035191917853,5,8.50633947376148e-10
52.0005641765264,5,5.39334194443627e-10
52.8189436759736,5,3.66387922642669e-10
52.6093536218071,5,4.04537931644038e-10
60.0981700819176,5,1.15998499414672e-11
57.9551355002004,5,3.21321582443421e-11
53.4227824012271,5,2.75391868658076e-10
57.3850646809504,5,4.21219928668512e-11
43.20063124021,5,3.36474399818647e-08
55.0874215880891,5,1.25240698097265e-10
48.1309803185183,5,3.33983051758317e-09
48.0811636259204,5,3.4189662427284e-09
50.823819337274,5,9.39814169340447e-10
49.8230994678036,5,1.50624237971977e-09
53.8376137847166,5,2.26321766960702e-10
49.2330959015936,5,1.98865226373943e-09
67.9813192136664,5,2.6944360422308e-13
55.500592369573,5,1.02972582769477e-10
63.0655784992252,5,2.82151088094878e-12
50.5315635358709,5,1.07868062907095e-09
44.252533166279,5,2.05829168351561e-08
49.1024106632835,5,2.11482393306881e-09
48.1145189456221,5,3.36577585244047e-09
55.103724322499,5,1.24277149248293e-10
42.0157139415667,5,5.84743570799864e-08
58.3995696878462,5,2.60160170203252e-11
56.0282980867652,5,8.01824881678668e-11
47.5549070628842,5,4.37818184884534e-09
51.7010774372521,5,6.21255408759018e-10
45.4721049791235,5,1.1631067627046e-08
55.9974645719654,5,8.13633658677923e-11
42.933428064074,5,3.81167411761426e-08
58.3581636753634,5,2.65329483393083e-11
59.2340960183633,5,1.74968617100141e-11
62.5038561355118,5,3.6881826187942e-12
49.8738071869125,5,1.47068771733854e-09
49.4786308804331,5,1.77155185579624e-09
49.194634957905,5,2.02498438482561e-09
44.451817399528,5,1.87512888668884e-08
46.3911524854591,5,7.56016899866367e-09
49.4529489611178,5,1.79310529278339e-09
59.9181992427853,5,1.26369650051923e-11
61.1674629624369,5,6.97227865531487e-12
53.617480793487,5,2.51163149456508e-10
47.0814166269544,5,5.46841690072857e-09
47.6531984380211,5,4.18061246033742e-09
50.3413390013981,5,1.17988057858174e-09
49.48025219101,5,1.77019988282899e-09
63.2745824430958,5,2.5537909327589e-12
60.4305498485676,5,9.90268105521342e-12
54.0336265725776,5,2.06273803297539e-10
49.6307456745239,5,1.64908581438449e-09
47.4721149203284,5,4.55180312049153e-09
49.8121186443352,5,1.51405401870618e-09
54.3677987542461,5,1.76096455099878e-10
58.5895381179458,5,2.37702792172035e-11
50.0243966635422,5,1.36995844985384e-09
51.1358272081836,5,8.11192872532354e-10
58.0211446797722,5,3.11402877387634e-11
51.7946000847895,5,5.94421833552464e-10
60.3878624726354,5,1.01059438761565e-11
58.9373420058511,5,2.01482085869364e-11
44.229452160713,5,2.08062603899918e-08
45.8686230852661,5,9.65896878991148e-09
41.7698074562192,5,6.55718453807387e-08
47.5733394768927,5,4.34043562766517e-09
57.0471107913094,5,4.9451432745858e-11
52.2248701068496,5,4.85119871832676e-10
62.1321811529484,5,4.40309347550850e-12
55.5320912087138,5,1.01446780763613e-10
48.4580981370498,5,2.86368621968071e-09
56.4646940475852,5,6.51921481641827e-11
57.9489885744522,5,3.22261132435077e-11
50.339719531785,5,1.1807815919876e-09
61.7223619250801,5,5.35272355674936e-12
66.5810735238888,5,5.26460763592716e-13
65.678162065835,5,8.10589221822346e-13
51.9606907927611,5,5.49585772185005e-10
60.1520156976359,5,1.1306398272157e-11
52.0695946407963,5,5.22035269797379e-10
61.0048620907668,5,7.53363966258351e-12
51.5139912727793,5,6.78615066680137e-10
58.6431969547302,5,2.31717468571363e-11
49.3190541864045,5,1.90978507317061e-09
41.7077333106106,5,6.74952256823048e-08
55.8531208019449,5,8.71265232309528e-11
48.6369945896702,5,2.6325847083407e-09
60.3989843139359,5,1.00525876358105e-11
53.4878992393138,5,2.67039569419396e-10
48.6332804713709,5,2.63718816324077e-09
51.4205439469634,5,7.09214412342945e-10
