"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.1",0.216423316801922,-0.00216770803988931,0.278950148512064,0.472047014985905,-387.094937464711
"R2c.2",0.212038640919992,-0.000105004265871897,0.963914492752197,0.443109847865886,-364.776630177717
"R2c.3",0.212067758891456,-0.00148695783805251,0.531763398854377,0.425380046494875,-358.766620862667
"R2c.4",0.212307052940957,-0.00245630865618183,0.202819287304012,0.429208910459206,-367.087492224302
"R2c.5",0.213554724418184,-0.00173752757914858,0.356651598743309,0.467276528296636,-393.53455641838
"R2c.6",0.214577160695359,0.000165548405201583,0.943569606884941,0.528335962563454,-367.711624889294
"R2c.7",0.210184414620145,0.00122825797204586,0.545106390737387,0.601544456372343,-397.023216195253
"R2c.8",0.209576075482101,-0.000680109416419047,0.745421771066259,0.423505949519397,-381.375694242611
"R2c.9",0.212587469503926,-0.00423503283740122,0.065893120337105,0.412857317955562,-358.926191713852
"R2c.10",0.212485472537094,-0.00025559705792694,0.905682595920615,0.460905726052896,-361.562241108714
"R2c.11",0.211926118758015,-0.000147891856033029,0.936530042584757,0.563832602102236,-396.496158471939
"R2c.12",0.209916964574134,-0.00135999592677815,0.491785294767068,0.547707438031927,-381.658096006337
"R2c.13",0.21949965347693,-0.00103082812918851,0.584187717636877,0.529917642700387,-383.596626320099
"R2c.14",0.218300610164251,-0.00184221605928011,0.34009043388494,0.45810573720778,-372.325286245156
"R2c.15",0.220006598618642,-0.00336575683179038,0.0797254023931264,0.529623931400014,-393.493252230065
"R2c.16",0.215829039354387,-0.000587009196867963,0.7931839215508,0.462896803190244,-370.546074465295
"R2c.17",0.211081690599755,0.00143319723618062,0.497215501243551,0.506624095444517,-377.581876058766
"R2c.18",0.21351982953763,-0.00419267019725232,0.0468304157237825,0.473561631924551,-378.174205595433
"R2c.19",0.212323850458998,-0.000190606997490996,0.918488073703173,0.588381405482938,-401.427822729683
"R2c.20",0.213440185906923,-0.00310285485130811,0.131126007904556,0.476413813210702,-386.063929703578
"R2c.21",0.21380439400686,-0.0041016567520239,0.0946431618373433,0.443912623822052,-387.047153951911
"R2c.22",0.213941874984277,-0.000910176457249579,0.663731501766067,0.502171631701624,-376.664131847751
"R2c.23",0.20789204839999,0.000328666747882767,0.866676918874346,0.557379878768418,-386.337143764827
"R2c.24",0.209447094934004,0.000119564490319162,0.950287714542371,0.552409344777847,-408.398976638565
"R2c.25",0.215171198533929,-0.00339474197286365,0.0867921544178294,0.537847447627909,-389.092948267314
"R2c.26",0.207247019089988,0.000757506648611837,0.675064608714482,0.538473510568363,-405.157952293987
"R2c.27",0.21516626201925,-0.003101028607903,0.198810364238743,0.450745133522553,-365.77129517294
"R2c.28",0.212731223998212,0.000571811362119771,0.800461729070996,0.534475096827983,-380.559469201561
"R2c.29",0.212591106181626,1.79465918667147e-06,0.999285767021028,0.478830903626129,-377.491986264308
"R2c.30",0.216131208397005,-0.00114988172780448,0.560528099077208,0.484332701000316,-371.754107477754
"R2c.31",0.214605457911777,-0.00132372192358873,0.517723982149776,0.568905271342045,-387.208229531511
"R2c.32",0.208705276874286,0.000971995802237692,0.659824301079391,0.43651543582876,-371.426582172023
"R2c.33",0.208446196453643,7.86248451528003e-05,0.975182725588955,0.503830343577396,-367.258967652002
"R2c.34",0.213064492616514,-0.00435127591527875,0.0472600064706687,0.434804940819422,-389.664073710117
"R2c.35",0.215212382746684,0.000460985907609896,0.833545297896292,0.417608217184489,-354.312593645891
"R2c.36",0.212148855776398,-0.000523638057520978,0.812640347181733,0.460197074469859,-382.435424318392
"R2c.37",0.211430474574426,-0.00188377035676239,0.32641680332263,0.52772760321514,-389.267599201992
"R2c.38",0.216469349202801,-0.00168903227122505,0.482754457479495,0.430989595289321,-362.017244423207
"R2c.39",0.212481945495695,-0.00253262197468678,0.187313601522196,0.488693569538372,-385.417084025513
"R2c.40",0.212264998580975,-0.00160787353080812,0.454148243575917,0.550871704270244,-397.057924482769
"R2c.41",0.210105444845376,0.000556372018416167,0.796574115743261,0.555578535310589,-390.530396529119
"R2c.42",0.213636588399814,-0.00114600607017509,0.563851129944678,0.512352855522422,-388.481930028731
"R2c.43",0.213899978349887,-0.000497348023063947,0.819724822929991,0.582052843375536,-389.525317530733
"R2c.44",0.216705471596786,-0.00523439322492551,0.0268313450305237,0.435006208141703,-375.060446840531
"R2c.45",0.212811608008213,-0.00310205189272211,0.0964765213499791,0.466568774904229,-399.282907856513
"R2c.46",0.209444837673832,-2.88503191875013e-05,0.98923021076811,0.441394557903737,-380.963091257479
"R2c.47",0.214914414019214,-0.000803085686824185,0.737811668763479,0.596719193317519,-399.129445749279
"R2c.48",0.214278571575082,-0.00318160804534337,0.168994677284964,0.424606453638406,-370.542564183477
"R2c.49",0.215152054366669,-0.000980071061251235,0.678827730734038,0.444433528632892,-371.190115139908
"R2c.50",0.216590062341447,-0.00470662791287409,0.0225611421969046,0.512083330012266,-396.72737990016
"R2c.51",0.214951932374192,-0.00261770574780445,0.286806007260971,0.479197044982005,-378.191117536821
"R2c.52",0.214231104267633,-0.00164129450709934,0.52600551445577,0.412262532678681,-357.756075285863
"R2c.53",0.21331073414399,-0.00192494812932964,0.370758829704974,0.440006876920048,-373.340614880648
"R2c.54",0.213705636984378,0.000377465272378707,0.868042778142117,0.453883046328065,-365.815541603966
"R2c.55",0.211872040825172,-0.0022298551941342,0.314987833265909,0.429003023715332,-363.769816198448
"R2c.56",0.214843126010077,-0.001410399551578,0.529318609793577,0.505642682689879,-359.606893825831
"R2c.57",0.215383817050564,-0.00604723911714063,0.0102654364555674,0.432918773927823,-399.958843866032
"R2c.58",0.214043265364839,-0.00271356994158373,0.188462067053333,0.482283753093113,-374.235067916492
"R2c.59",0.215271305278896,-0.00316156193355965,0.0912865349243353,0.522163347085016,-405.132913565391
"R2c.60",0.214318637852748,-0.00327757205409498,0.133738908412979,0.515284041306796,-378.504694754799
"R2c.61",0.209625149627673,0.000404285065247775,0.812565723829119,0.577588485555181,-406.720249959523
"R2c.62",0.214446215995865,-0.0017761678702685,0.394255960202018,0.51325936888893,-379.872054593158
"R2c.63",0.216263549125973,-0.00409351313899005,0.0902131606670456,0.414849202391925,-360.770161148849
"R2c.64",0.213837986689331,-0.00106724279409993,0.682456445815274,0.454014292108362,-363.24142946255
