Value,Variable
0.228970161,M
0.258656986,M
0.228270671,M
0.251232794,M
0.219194091,M
0.222340873,M
0.248179853,M
0.205216549,M
0.221562183,M
0.220238538,M
0.254821911,M
0.263094518,M
0.214772946,M
0.255921455,M
0.196641752,M
0.234907091,M
0.302717812,M
0.248468859,M
0.272699149,M
0.213099,M
0.169583054,M
0.196741355,M
0.197568539,M
0.18848248,M
0.213925084,M
0.211037186,M
0.189719911,M
0.190553862,M
0.182821195,M
0.20979481,M
0.207296638,M
0.228914912,M
0.199226927,M
0.185187538,M
0.197568539,M
0.207710829,M
0.238853664,M
0.238512155,M
0.234465667,M
0.223893367,M
0.207172941,M
0.258089992,M
0.268789739,M
0.204771238,M
0.281837334,M
0.260955946,M
0.239623967,M
0.26837338,M
0.233441152,M
0.206486837,M
0.208545559,M
0.206486837,M
0.250278706,M
0.229989628,M
0.239194736,M
0.203399873,M
0.154288238,M
0.13991513,M
0.151159963,M
0.148454227,M
0.151159963,M
0.159206944,M
0.147413594,M
0.142215403,M
0.142730622,M
0.169977356,M
0.150660706,M
0.201775165,M
0.229237738,M
0.242471584,M
0.294370129,M
0.221017038,M
0.262555177,M
0.220130486,M
0.269063296,M
0.258821906,M
0.252742756,M
0.261686907,M
0.259280674,M
0.242630791,M
0.265375976,M
0.248750569,M
0.255141949,M
0.236481802,M
0.257646538,M
0.235082886,M
0.267833855,M
0.242877713,M
0.211783475,M
0.148620533,M
0.176387608,M
0.207216362,M
0.241704103,M
0.163635598,M
0.15573747,M
0.157275714,M
0.166418684,M
0.18387449,M
0.185686547,M
0.180385084,M
0.182480817,M
0.200599013,M
0.238753841,M
0.212839404,M
0.225493692,M
0.250421131,M
0.207272987,M
0.201292556,M
-2.673386709,Temp
-0.79212154,Temp
-0.950166727,Temp
-3.498343374,Temp
0.160811577,Temp
-1.050569891,Temp
-0.50701731,Temp
-1.515286085,Temp
-1.077005684,Temp
-1.342040479,Temp
-1.382304538,Temp
-0.80670885,Temp
-3.257706827,Temp
-1.888632539,Temp
-1.284870082,Temp
-2.480545569,Temp
-2.644508624,Temp
-1.541425192,Temp
-1.26600538,Temp
2.239159875,Temp
-0.002754311,Temp
1.883642019,Temp
2.143067485,Temp
0.050768717,Temp
2.552088759,Temp
0.997749829,Temp
1.883642019,Temp
2.602842776,Temp
2.01657174,Temp
0.232333594,Temp
1.871694888,Temp
2.478775276,Temp
0.997749829,Temp
0.049022398,Temp
2.552088759,Temp
1.706421631,Temp
-1.766698782,Temp
-2.635802862,Temp
-2.646449632,Temp
-4.53977405,Temp
-3.791517828,Temp
-3.63436379,Temp
-0.94412239,Temp
-2.288676483,Temp
-2.743428986,Temp
-2.134326952,Temp
-2.508320299,Temp
-4.370280972,Temp
-1.724224785,Temp
-2.646449632,Temp
-3.00807513,Temp
-2.646449632,Temp
-2.508320299,Temp
-3.233469101,Temp
-4.727127692,Temp
-2.066973927,Temp
1.165729732,Temp
0.85976706,Temp
1.942689254,Temp
1.001393521,Temp
2.396940377,Temp
0.074706362,Temp
1.165729732,Temp
1.369608046,Temp
1.883822281,Temp
1.666569182,Temp
-0.177209955,Temp
0.451703727,Temp
-1.98305034,Temp
-0.152593993,Temp
0.557026051,Temp
-1.097461403,Temp
0.235192593,Temp
0.788769842,Temp
-1.608256872,Temp
-1.093346047,Temp
-0.644025734,Temp
-1.888632539,Temp
1.795300002,Temp
1.606608666,Temp
-1.939537182,Temp
-0.632675349,Temp
-1.888632539,Temp
0.489991973,Temp
0.147837258,Temp
-0.49700466,Temp
-2.216417927,Temp
-2.057242181,Temp
-1.56617145,Temp
0.776911014,Temp
0.23219923,Temp
-2.2031936,Temp
0.083617797,Temp
-0.068440102,Temp
0.273410531,Temp
0.225384024,Temp
0.77099889,Temp
0.491067537,Temp
-1.443620483,Temp
0.231230003,Temp
-1.201575774,Temp
-0.433648881,Temp
0.010777512,Temp
-2.084134419,Temp
-0.654807144,Temp
-0.888710153,Temp
-1.492117448,Temp
-1.24069104,Temp
