"","intercept_mod","scal_mod","p_mod","r_sq_con","aic_mod"
"R2c.1",0.214401783995706,0.00378601486350477,1.36565953902506,0.580169048313268,-373.101636146792
"R2c.2",0.209759205969818,0.00379538058971379,0.339876040896807,0.591966645804655,-382.772632845906
"R2c.3",0.215830736846581,6.05871716610985e-05,0.0224926272060328,0.537244279120679,-399.82137867833
"R2c.4",0.218718050792604,-0.00991324739819818,-2.1508669773926,0.505088521419496,-367.679222568015
"R2c.5",0.219258236687196,-0.00956107578200393,-0.823468841627526,0.425593708295906,-384.272905677191
"R2c.6",0.207861131437346,0.000105941471088416,0.021936754142593,0.564729667225206,-394.814652012611
"R2c.7",0.212505106700952,0.000523475744520569,0.152612056939099,0.505928051773825,-371.62128210521
"R2c.8",0.217950175591562,-0.0095214776100962,-0.946931966564036,0.444331646785827,-381.938626709226
"R2c.9",0.217611254415276,-0.00722574694716299,-0.882341419980273,0.437877814165376,-357.14538354625
"R2c.10",0.207299170441561,0.00582732582843179,0.644443574335547,0.532273768811622,-366.095445551802
"R2c.11",0.214296237149837,-0.000893903254307618,-0.229192784034765,0.470259759431461,-367.414139910899
"R2c.12",0.213965607835288,-0.00488791693186094,-0.562736169807946,0.542018940231994,-394.369780659318
"R2c.13",0.209073386268234,0.00749857574852437,1.38192349751908,0.518675574372567,-405.04899621888
"R2c.14",0.226001860664334,-0.0189036725636198,-1.84171990132795,0.483913919814458,-389.733237618452
"R2c.15",0.208803394532292,0.00094350018369328,0.0675321112527879,0.5355861974347,-381.802437065483
"R2c.16",0.211108935167252,0.00714243180948377,0.717862134769001,0.498255597561513,-368.176246483555
"R2c.17",0.209834112300397,-0.000987420095958294,-0.0712140029692906,0.483115617721207,-388.418443389228
"R2c.18",0.220942523409772,-0.0131268268555002,-1.71818296907377,0.419971353575562,-370.588300236702
"R2c.19",0.209894105996889,0.00379877993793848,0.257564576697751,0.476866010852258,-362.955019331955
"R2c.20",0.210399986510229,0.00628579306344997,1.28403037210117,0.582163356122014,-382.970056175177
"R2c.21",0.21332467786139,0.00193398620797444,0.226585342172696,0.525039348047115,-374.885112020279
"R2c.22",0.209378953369209,0.000831095900654615,0.189653855917787,0.571580845428747,-385.160705986205
"R2c.23",0.209650288582202,0.00481395976860386,0.644209821906108,0.5509017093725,-403.815166617269
"R2c.24",0.211311063526143,0.00343133736614837,0.562417472295669,0.525447012995968,-361.596145064611
"R2c.25",0.215279941678828,0.000580148985261834,0.119015413210594,0.495622776532935,-360.167686827444
"R2c.26",0.217118871898915,-0.000973172204299513,-0.08185571187154,0.427453240036701,-353.494814391394
"R2c.27",0.213217524373851,0.00444834820370704,0.756271146695029,0.532616911711965,-375.042455660533
"R2c.28",0.21842966550702,-0.00592674892904756,-0.589188366649427,0.457351594285069,-380.838500286479
"R2c.29",0.21369445365811,0.00238328470314134,0.179650777547878,0.51037063490643,-359.289410355973
"R2c.30",0.203272927923932,0.0101163355125449,1.0599000777958,0.607532667599424,-394.610370031631
"R2c.31",0.214456491346817,0.00422475900723436,1.32716424913472,0.53614252393363,-364.579612022141
"R2c.32",0.221437171164816,-0.0156812270841381,-1.19293286730119,0.502130744116685,-387.414659814346
"R2c.33",0.211033140579732,0.00029900929631025,0.140250054104106,0.451036734552498,-388.553978784428
"R2c.34",0.217173584251888,-0.00898616051964051,-0.922193107034222,0.422466293318236,-389.412167430355
"R2c.35",0.217142309258149,-0.00742956913404287,-1.21778191622583,0.514620594039553,-390.768407435381
"R2c.36",0.214008179391078,-0.00202482796306437,-0.219166303924871,0.543036547281999,-379.764637079472
"R2c.37",0.204874423576227,0.00742032522675148,1.55595780621284,0.501996421075587,-377.362927266805
"R2c.38",0.211064100159725,0.00454359296933743,0.846226599367309,0.566222913195167,-394.745797530258
"R2c.39",0.219024202432233,-0.00745852980144142,-1.05007675362873,0.494371887465732,-388.449625040684
"R2c.40",0.217735077160341,-0.00974446815836769,-1.30291458174816,0.434699881192185,-378.183178325109
"R2c.41",0.217482766260509,-0.00131270121955792,-0.392739088953431,0.435634356963897,-354.033748928275
"R2c.42",0.20816558234068,0.00583517924744413,0.633437034123033,0.549937982602221,-381.796553879426
"R2c.43",0.207557816857488,0.00445432158381207,0.472286668139623,0.431091826854627,-376.324885070396
"R2c.44",0.220155896730601,-0.0127429741235436,-1.65500410343895,0.563446352399881,-384.194755908431
"R2c.45",0.218338578814069,-0.00389998511203979,-0.505376064355964,0.478257953809206,-393.025834805069
"R2c.46",0.222473774498245,-0.0131940809562183,-1.00629627058403,0.521658836896476,-405.740960737567
"R2c.47",0.210307604972885,0.000965971310244554,0.100163443625346,0.561608785916107,-414.292314127177
"R2c.48",0.224882802673212,-0.0195057724840908,-1.69368927917303,0.486236091303936,-380.601326476337
"R2c.49",0.219880748908441,-0.0101836532143139,-1.06720977824082,0.401713697223245,-368.284149901566
"R2c.50",0.223384989153895,-0.0130783714287442,-1.33232282288193,0.530400237684341,-405.405994355442
"R2c.51",0.212059718941229,-0.00457579310827198,-1.15599649642169,0.423970897316869,-356.969623969935
"R2c.52",0.21162218367504,0.00274856367835561,0.815872917594337,0.609448834248939,-406.898970220482
"R2c.53",0.218574355835103,-0.00597697214416382,-1.12223967822302,0.345588895083295,-357.544400583894
"R2c.54",0.207648910112193,0.00501480738030298,0.662384757983287,0.607807061371792,-385.83340128619
"R2c.55",0.21191403425157,0.00157103668394082,0.446912589380607,0.484165865957735,-362.933937834676
"R2c.56",0.21390664653666,0.00540496987827586,0.589360642154098,0.442620819669822,-361.003734092448
"R2c.57",0.201591708943289,0.0155705484427017,1.91267676490002,0.644960349497032,-401.098686245053
"R2c.58",0.213896763179754,0.00237362843903164,0.305212465362423,0.644802486055286,-413.75496655478
"R2c.59",0.208997000639986,0.00536114528065209,0.554065869745398,0.515121126798014,-388.027473668726
"R2c.60",0.208991086702352,0.00366198629159516,1.34905984293874,0.499202468442846,-376.9113149633
"R2c.61",0.207880373753194,0.00545391201069396,0.987389950263376,0.563989287970798,-383.335344565322
"R2c.62",0.213882118118001,-0.00497438079660874,-0.864824421617143,0.477756211979171,-396.536355245778
"R2c.63",0.212379318956424,-0.00436162021605936,-0.4944979442058,0.551454499622045,-387.611653472127
"R2c.64",0.214569775777217,0.00130387161474363,0.211330992634675,0.550826106250106,-374.455414625711
"R2c.65",0.213384990930158,0.000726125389298797,0.0590279608682236,0.437425560072229,-354.646995284137
"R2c.66",0.212555320390437,-0.00305963346237187,-0.414119043203378,0.510490576518434,-384.131845647652
"R2c.67",0.210522056945313,0.00659195960144235,0.572381304943962,0.553115588259654,-375.766786900623
"R2c.68",0.218063086357063,-0.00885420468335818,-0.671333818412118,0.567211521686585,-411.500070066807
"R2c.69",0.225172412932837,-0.019367495968299,-1.92267292564238,0.51757079308803,-385.507109048768
"R2c.70",0.213172834488587,0.00069887253058996,0.262843867266822,0.542541710405669,-381.197559521501
"R2c.71",0.21484468747983,-0.00280874986447051,-0.490913613464536,0.458464383501122,-360.042132006648
"R2c.72",0.211602457636946,-0.0038340275231055,-0.700643830736498,0.464619787466482,-364.553437629143
"R2c.73",0.210972478830928,-0.00342334255927993,-0.38823056543663,0.475023125810098,-377.664010053486
"R2c.74",0.207935636024173,0.00394641585739985,0.750571938158798,0.580181014780275,-395.794987312322
"R2c.75",0.218388687559202,-0.0136228667328828,-2.0882113106218,0.522506597064995,-381.820002329423
"R2c.76",0.211119982225601,0.00452182575793368,0.597710447586407,0.573414880996134,-392.2418192391
"R2c.77",0.217947413648682,-0.00525537205030724,-0.928178144477137,0.574004774759208,-405.757700889619
"R2c.78",0.220155931538216,-0.00545257700952977,-1.64996832572938,0.492499501113935,-388.530742662647
"R2c.79",0.210723219160633,-0.000784191676236136,-0.0725857704114929,0.58080808456172,-394.985797793567
"R2c.80",0.215964700172347,-0.00279352472888686,-0.352176338881757,0.507064282450813,-386.313373189603
"R2c.81",0.202070927122537,0.0130346254954288,1.52699437448371,0.577750089881985,-383.152410399661
"R2c.82",0.229155496525294,-0.0211227299194454,-1.3508432178031,0.478781505424036,-368.138301434787
"R2c.83",0.216082006713185,-0.00354569788493566,-0.347013290945673,0.532972350458425,-370.289165161407
"R2c.84",0.202290806027787,0.0174921907513677,2.00484531128013,0.630226745194632,-379.814668929461
"R2c.85",0.21175839119355,-0.00411325217430674,-0.656670499455586,0.51825819603101,-390.63936844006
"R2c.86",0.213262809464372,-1.8016281632148e-06,-0.000206077432740357,0.543053387305463,-393.815252023017
"R2c.87",0.208178087510144,0.00889735863400048,1.63632229093312,0.572853391665646,-398.603995228147
"R2c.88",0.224080279852209,-0.0133775741155718,-1.64259378006375,0.46982116479172,-388.557782614896
"R2c.89",0.213580859891973,-0.00218716203787105,-0.393258726201709,0.5794695063932,-393.302506970405
"R2c.90",0.208975649775286,0.00183410368008073,0.213546333330933,0.616713042174395,-400.81025378982
"R2c.91",0.21227985961351,0.00296504407644541,1.14539245682625,0.578449334408726,-385.28751801686
"R2c.92",0.226224941525879,-0.0153205408667231,-1.49031063885454,0.515782751143533,-398.663542332809
"R2c.93",0.208540231985596,0.00461470911384481,0.437844406408889,0.589504145099706,-394.081798232454
"R2c.94",0.212849420048334,-0.000601566640321273,-0.206459540891227,0.590582347892673,-395.07536664394
"R2c.95",0.21774383993008,-0.0068169594008259,-0.564560088168997,0.498479443746609,-394.774988616939
"R2c.96",0.20593721861014,0.00429861929937093,0.47233208031537,0.392595766876846,-385.834708268418
"R2c.97",0.212126490411938,0.0024856328330051,0.325172570523111,0.536279309950378,-373.183061861877
"R2c.98",0.212117417061256,-2.57163406003161e-05,-0.00484681500757383,0.4827731139292,-388.641435065136
"R2c.99",0.210407308116073,-0.000368322151033414,-0.0508887900077143,0.526561713621434,-390.545176978556
"R2c.100",0.223422782354408,-0.0138284770461923,-1.38648453543883,0.51815580795792,-396.726674960774
"R2c.101",0.214435332722455,-0.00187313259837967,-0.201689833441511,0.519819478720089,-375.5825196125
"R2c.102",0.21519081512909,-0.00690707540444695,-0.414483358288459,0.431395588426259,-351.664463198016
"R2c.103",0.211390121431974,-0.00176734587384505,-0.614756411002302,0.535053761472921,-400.610705796264
"R2c.104",0.216000368894258,-0.00368682630000992,-0.434116519433854,0.494757853216525,-377.282542894252
"R2c.105",0.216568519530842,-0.00570116527801571,-0.56007021346904,0.505746051444014,-389.811354488222
"R2c.106",0.206029688571289,0.00624384831677715,0.515382096430814,0.560571701881899,-389.510187882683
"R2c.107",0.221922315560777,-0.0126217779830259,-0.992610146007519,0.478457028992848,-382.958173766809
"R2c.108",0.213595374076876,-0.00223318865467639,-0.515139530331275,0.434669822005354,-361.857943855222
"R2c.109",0.208870901192361,0.00350310330338128,0.375150478439158,0.41796332236602,-379.411313083566
"R2c.110",0.216696503313288,-0.00274001939584186,-0.471304887183089,0.51089112486059,-375.06050902547
"R2c.111",0.220697738153459,-0.0129985768555507,-1.28490254190985,0.44675595437388,-377.465410961895
"R2c.112",0.212166046309483,0.00228281528173173,0.20950839506894,0.476197087230575,-379.888524559562
"R2c.113",0.214121149700503,-0.00401688805539329,-0.9901997359583,0.486209371413725,-371.792893260401
"R2c.114",0.216705925644538,0.000203833505357871,0.0305778431233996,0.541967106848368,-390.932141323535
"R2c.115",0.212481179305793,-0.00525960597522768,-0.428882258632492,0.606597166868643,-405.402081994809
"R2c.116",0.215984283125574,-0.00404749703546241,-0.568079100877828,0.473743065421096,-392.934196980549
"R2c.117",0.215537453592289,-0.00625261251710441,-0.831151903886833,0.449365138773097,-387.060392474147
"R2c.118",0.218353939842396,-0.00423305528096577,-1.26831577457833,0.48456969140113,-366.763606312332
"R2c.119",0.221231355050381,-0.0136451919148218,-1.74159654969412,0.460181414522625,-367.99820988575
"R2c.120",0.209256240295867,0.00686699311832759,0.528890491845442,0.546283482415865,-385.899123298554
