"","rho","p_value"
"rho.1",-0.437703493082355,2.16838101964217e-06
"rho.2",-0.422074287753979,5.37093732426762e-06
"rho.3",-0.388072072687245,3.32643530640218e-05
"rho.4",-0.36856057466072,8.68318455792306e-05
"rho.5",-0.390777768702642,2.89790276554886e-05
"rho.6",-0.346948351382803,0.000234529479895916
"rho.7",-0.435193102589196,2.51614348862658e-06
"rho.8",-0.400209596361949,1.77483893954498e-05
"rho.9",-0.355003513287797,0.000163287747596636
"rho.10",-0.377592264176904,5.61147864271673e-05
"rho.11",-0.378273451730077,5.42687158555423e-05
"rho.12",-0.377268342822948,5.70130581858565e-05
"rho.13",-0.422002834514135,5.39270054751867e-06
"rho.14",-0.286756142138863,0.00262250328831903
"rho.15",-0.388367412745264,3.27692615837817e-05
"rho.16",-0.343432851982516,0.000273850745491454
"rho.17",-0.357737790599131,0.000144084535356335
"rho.18",-0.471805742684869,2.54429042567826e-07
"rho.19",-0.448264281931185,1.14460932252049e-06
"rho.20",-0.407716950094812,1.18850879687609e-05
"rho.21",-0.387143180569283,3.48675321549789e-05
"rho.22",-0.420959617212424,5.72007315547346e-06
"rho.23",-0.336649557746732,0.000367441906135574
"rho.24",-0.345028641005682,0.000255302330007055
"rho.25",-0.346405306759995,0.000240241210986397
"rho.26",-0.385776041913616,3.73590899303805e-05
"rho.27",-0.408655369311419,1.12963066596362e-05
"rho.28",-0.383137035588739,4.26465168074456e-05
"rho.29",-0.461754653613587,4.90219967470635e-07
"rho.30",-0.51026663991782,1.68812689067544e-08
"rho.31",-0.455042812617646,7.50907397725591e-07
"rho.32",-0.445701492395474,1.33921778385515e-06
"rho.33",-0.285360422187259,0.00275752905861703
"rho.34",-0.412899691758107,8.95990403714948e-06
"rho.35",-0.380512319911831,4.85929922461224e-05
"rho.36",-0.424579914697815,4.658128929158e-06
"rho.37",-0.451284372201892,9.49683741581486e-07
"rho.38",-0.462245299193844,4.75004183814254e-07
"rho.39",-0.449874361602319,1.0364047554976e-06
"rho.40",-0.358395160405689,0.000139791465128993
"rho.41",-0.345428779148804,0.000250837115045522
"rho.42",-0.426494861525613,4.17461736328589e-06
"rho.43",-0.486744233361427,9.22695187094316e-08
"rho.44",-0.436369699271948,2.34704974224411e-06
"rho.45",-0.447321099165254,1.21288400014244e-06
"rho.46",-0.462431077617437,4.69360913331506e-07
"rho.47",-0.489569018109897,7.57490974021223e-08
"rho.48",-0.372604828035847,7.15268056886403e-05
"rho.49",-0.410741803914842,1.00841165467368e-05
"rho.50",-0.318409927389416,0.000784056166882691
"rho.51",-0.488097081369126,8.39692522003116e-08
"rho.52",-0.368227126208118,8.82211236475496e-05
"rho.53",-0.406006835887897,1.30329770730865e-05
"rho.54",-0.346114730251299,0.000243350057491716
"rho.55",-0.367550702204269,9.11031832642631e-05
"rho.56",-0.364549666130853,0.000104978693799181
"rho.57",-0.361724881382384,0.000119812303703064
"rho.58",-0.396022436507136,2.21046501848105e-05
"rho.59",-0.307348965861683,0.00121392033812322
"rho.60",-0.347400888568477,0.000229865929609929
"rho.61",-0.382522537726087,4.39743220777738e-05
"rho.62",-0.463764871427844,4.30676918508656e-07
"rho.63",-0.319448381141804,0.000751882900524786
"rho.64",-0.373714735028078,6.77895799370063e-05
"rho.65",-0.314341856267674,0.000922595875332541
"rho.66",-0.41959724210608,6.17588696258879e-06
"rho.67",-0.437222374600744,2.23129088691449e-06
"rho.68",-0.27542842184905,0.00391349969912231
"rho.69",-0.431115504368809,3.19573421609608e-06
"rho.70",-0.451784544880795,9.20610609645899e-07
"rho.71",-0.501525526910331,3.22128988670691e-08
"rho.72",-0.452356170799541,8.88418620357029e-07
"rho.73",-0.422379154910643,5.27900869966186e-06
"rho.74",-0.395498446081619,2.27155150522303e-05
"rho.75",-0.326908099381438,0.000554011733663609
"rho.76",-0.376882495327795,5.81005744063188e-05
"rho.77",-0.376672899157588,5.86994100761638e-05
"rho.78",-0.387876767165007,3.35955898714874e-05
"rho.79",-0.449626657037529,1.05239511172364e-06
"rho.80",-0.402115016091102,1.60455079335302e-05
"rho.81",-0.368512939167491,8.70290586350496e-05
"rho.82",-0.315542270697041,0.000879553662567208
"rho.83",-0.355170237514098,0.000162052020170479
"rho.84",-0.4543044624726,7.86537032814596e-07
"rho.85",-0.394083671932723,2.44448889825797e-05
"rho.86",-0.441714401612222,1.70548080943064e-06
"rho.87",-0.349563539961065,0.000208740555740601
"rho.88",-0.394036036439494,2.45052114599872e-05
"rho.89",-0.38454228263899,3.97496494398865e-05
"rho.90",-0.457967631901896,6.24264951222445e-07
"rho.91",-0.408655369311419,1.12963066596362e-05
